"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Região e Unidade da Federação,Mês x Produto das lavouras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Região e Unidade da Federação,janeiro 2014,,,,,,,,,,,,,,,,,,fevereiro 2014,,,,,,,,,,,,,,,,,,março 2014,,,,,,,,,,,,,,,,,,abril 2014,,,,,,,,,,,,,,,,,,maio 2014,,,,,,,,,,,,,,,,,,junho 2014,,,,,,,,,,,,,,,,,,julho 2014,,,,,,,,,,,,,,,,,,agosto 2014,,,,,,,,,,,,,,,,,,setembro 2014,,,,,,,,,,,,,,,,,,outubro 2014,,,,,,,,,,,,,,,,,,novembro 2014,,,,,,,,,,,,,,,,,,dezembro 2014,,,,,,,,,,,,,,,,,,janeiro 2015,,,,,,,,,,,,,,,,,,fevereiro 2015,,,,,,,,,,,,,,,,,,março 2015,,,,,,,,,,,,,,,,,,abril 2015,,,,,,,,,,,,,,,,,,maio 2015,,,,,,,,,,,,,,,,,,junho 2015,,,,,,,,,,,,,,,,,,julho 2015,,,,,,,,,,,,,,,,,,agosto 2015,,,,,,,,,,,,,,,,,,setembro 2015,,,,,,,,,,,,,,,,,,outubro 2015,,,,,,,,,,,,,,,,,,novembro 2015,,,,,,,,,,,,,,,,,,dezembro 2015,,,,,,,,,,,,,,,,,,janeiro 2016,,,,,,,,,,,,,,,,,,fevereiro 2016,,,,,,,,,,,,,,,,,,março 2016,,,,,,,,,,,,,,,,,,abril 2016,,,,,,,,,,,,,,,,,,maio 2016,,,,,,,,,,,,,,,,,,junho 2016,,,,,,,,,,,,,,,,,,julho 2016,,,,,,,,,,,,,,,,,,agosto 2016,,,,,,,,,,,,,,,,,,setembro 2016,,,,,,,,,,,,,,,,,,outubro 2016,,,,,,,,,,,,,,,,,,novembro 2016,,,,,,,,,,,,,,,,,,dezembro 2016,,,,,,,,,,,,,,,,,,janeiro 2017,,,,,,,,,,,,,,,,,,fevereiro 2017,,,,,,,,,,,,,,,,,,março 2017,,,,,,,,,,,,,,,,,,abril 2017,,,,,,,,,,,,,,,,,,maio 2017,,,,,,,,,,,,,,,,,,junho 2017,,,,,,,,,,,,,,,,,,julho 2017,,,,,,,,,,,,,,,,,,agosto 2017,,,,,,,,,,,,,,,,,,setembro 2017,,,,,,,,,,,,,,,,,,outubro 2017,,,,,,,,,,,,,,,,,,novembro 2017,,,,,,,,,,,,,,,,,,dezembro 2017,,,,,,,,,,,,,,,,,,janeiro 2018,,,,,,,,,,,,,,,,,,fevereiro 2018,,,,,,,,,,,,,,,,,,março 2018,,,,,,,,,,,,,,,,,,abril 2018,,,,,,,,,,,,,,,,,,maio 2018,,,,,,,,,,,,,,,,,,junho 2018,,,,,,,,,,,,,,,,,,julho 2018,,,,,,,,,,,,,,,,,,agosto 2018,,,,,,,,,,,,,,,,,,setembro 2018,,,,,,,,,,,,,,,,,,outubro 2018,,,,,,,,,,,,,,,,,,novembro 2018,,,,,,,,,,,,,,,,,,dezembro 2018,,,,,,,,,,,,,,,,,,janeiro 2019,,,,,,,,,,,,,,,,,,fevereiro 2019,,,,,,,,,,,,,,,,,,março 2019,,,,,,,,,,,,,,,,,,abril 2019,,,,,,,,,,,,,,,,,,maio 2019,,,,,,,,,,,,,,,,,,junho 2019,,,,,,,,,,,,,,,,,,julho 2019,,,,,,,,,,,,,,,,,,agosto 2019,,,,,,,,,,,,,,,,,,setembro 2019,,,,,,,,,,,,,,,,,,outubro 2019,,,,,,,,,,,,,,,,,,novembro 2019,,,,,,,,,,,,,,,,,,dezembro 2019,,,,,,,,,,,,,,,,,,janeiro 2020,,,,,,,,,,,,,,,,,,fevereiro 2020,,,,,,,,,,,,,,,,,,março 2020,,,,,,,,,,,,,,,,,,abril 2020,,,,,,,,,,,,,,,,,,maio 2020,,,,,,,,,,,,,,,,,,junho 2020,,,,,,,,,,,,,,,,,,julho 2020,,,,,,,,,,,,,,,,,,agosto 2020,,,,,,,,,,,,,,,,,,setembro 2020,,,,,,,,,,,,,,,,,,outubro 2020,,,,,,,,,,,,,,,,,,novembro 2020,,,,,,,,,,,,,,,,,,dezembro 2020,,,,,,,,,,,,,,,,,,janeiro 2021,,,,,,,,,,,,,,,,,,fevereiro 2021,,,,,,,,,,,,,,,,,,março 2021,,,,,,,,,,,,,,,,,,abril 2021,,,,,,,,,,,,,,,,,,maio 2021,,,,,,,,,,,,,,,,,,junho 2021,,,,,,,,,,,,,,,,,,julho 2021,,,,,,,,,,,,,,,,,,agosto 2021,,,,,,,,,,,,,,,,,,setembro 2021,,,,,,,,,,,,,,,,,,outubro 2021,,,,,,,,,,,,,,,,,,novembro 2021,,,,,,,,,,,,,,,,,,dezembro 2021,,,,,,,,,,,,,,,,,,janeiro 2022,,,,,,,,,,,,,,,,,,fevereiro 2022,,,,,,,,,,,,,,,,,,março 2022,,,,,,,,,,,,,,,,,,abril 2022,,,,,,,,,,,,,,,,,,maio 2022,,,,,,,,,,,,,,,,,,junho 2022,,,,,,,,,,,,,,,,,,julho 2022,,,,,,,,,,,,,,,,,,agosto 2022,,,,,,,,,,,,,,,,,,setembro 2022,,,,,,,,,,,,,,,,,,outubro 2022,,,,,,,,,,,,,,,,,,novembro 2022,,,,,,,,,,,,,,,,,,dezembro 2022,,,,,,,,,,,,,,,,,,janeiro 2023,,,,,,,,,,,,,,,,,,fevereiro 2023,,,,,,,,,,,,,,,,,,março 2023,,,,,,,,,,,,,,,,,,abril 2023,,,,,,,,,,,,,,,,,,maio 2023,,,,,,,,,,,,,,,,,,junho 2023,,,,,,,,,,,,,,,,,,julho 2023,,,,,,,,,,,,,,,,,,agosto 2023,,,,,,,,,,,,,,,,,,setembro 2023,,,,,,,,,,,,,,,,,,outubro 2023,,,,,,,,,,,,,,,,,,novembro 2023,,,,,,,,,,,,,,,,,,dezembro 2023,,,,,,,,,,,,,,,,,,janeiro 2024,,,,,,,,,,,,,,,,,,fevereiro 2024,,,,,,,,,,,,,,,,,,março 2024,,,,,,,,,,,,,,,,,,abril 2024,,,,,,,,,,,,,,,,,,maio 2024,,,,,,,,,,,,,,,,,,junho 2024,,,,,,,,,,,,,,,,,,julho 2024,,,,,,,,,,,,,,,,,,agosto 2024,,,,,,,,,,,,,,,,,,setembro 2024,,,,,,,,,,,,,,,,,,outubro 2024,,,,,,,,,,,,,,,,,,novembro 2024,,,,,,,,,,,,,,,,,,dezembro 2024,,,,,,,,,,,,,,,,,
