Produto	Correlação Produção Temperatura	P-Valor Produção Temperatura	Correlação Produção Precipitação	P-Valor Produção Precipitação	Correlação Produção Velocidade do Vento	P-Valor Produção Velocidade do Vento	Correlação Rendimento Temperatura	P-Valor Rendimento Temperatura	Correlação Rendimento Precipitação	P-Valor Rendimento Precipitação	Correlação Rendimento Velocidade do Vento	P-Valor Rendimento Velocidade do Vento	Cidade
1.0	-0.0035914950342286894	0.9752696532511526	0.18630721945155057	0.10473102933131141	-0.017932006232908915	0.8769857613016993	0.08883277263060216	0.44232370008377114	0.1246581264607464	0.28005360032459276	-0.2039173648658136	0.07526567527309132	colombo
2.0	-0.10940511427551927	0.34355185240556557	-0.04812315456274725	0.6776932441262467	0.21050729227862827	0.06611686251111623	-0.09506331464776353	0.41085048779633027	-0.08471530476651251	0.4638431818247798	0.10684139030733744	0.3550461950843979	colombo
													colombo
1.0	-0.08231778947375017	0.6088887347661401	-0.04761625320221491	0.7675114538643714	-0.43045280845224304	0.004965576984534841	0.2065639516335576	0.19505190669237535	0.19200821239797414	0.22910779520901114	0.33205572185123616	0.033918813765656135	laranjeiras do sul
2.0	-0.4145313256878969	0.007046611901094186	-0.42703736980798956	0.005360232318755511	-0.8580952905952264	7.535884780367415e-13	-0.23015483269797649	0.14771460065005976	-0.2872239909399071	0.0686318519353008	-0.41539565188705374	0.006916881434351741	laranjeiras do sul
													laranjeiras do sul
1.0	-0.05934025966424862	0.6986033912254624	0.06825058055307447	0.6559763520784185	-0.16789431027917254	0.2702773980280345	-0.050448035145584644	0.7420783761891669	-0.12999344201643628	0.3947119257616195	-0.11950238426702804	0.434275745085006	campina da lagoa
2.0	0.023375200022928387	0.8788605771418051	0.1287203778134945	0.39939749704193817	-0.00046373402659769837	0.9975877746666545	-0.21269202472661317	0.16069421111973964	0.026155416125132336	0.8645795181818375	0.06994990767245804	0.6479630343599055	campina da lagoa
													campina da lagoa
1.0	0.05245177439826833	0.6194972001088075	-0.088193287473898	0.403163359771326	-0.12132057942890734	0.24931415141307403	0.049144935443452754	0.6417754238735252	0.0781301628108361	0.4591273237352014	-0.019342244607340412	0.8547942655117776	cambara do sul
2.0	-0.022509010498021627	0.8313473211479144	-0.200349279353197	0.05550888262453473	-0.07913366119210843	0.45336159950454213	0.024580691921330312	0.8160865932782347	-0.11041718712344914	0.29472528130171843	-0.07134963387469744	0.49912526108825134	cambara do sul
													cambara do sul
1.0	0.1343688570446845	0.26742735498551906	0.05430978726589299	0.6552097422996115	-0.11962813416670723	0.32393333231809257	0.17600706072154818	0.14498649035832178	0.012275234566674566	0.9196643507541697	-0.09018214595700688	0.45781648717289913	encruzilhada do sul
2.0	-0.09920538588551195	0.41387970467552704	-0.024605393850683246	0.8397702567349368	0.1819281534493123	0.13172783307616043	-0.00676149872899761	0.9556980838293258	-0.05109940239379132	0.674408767971624	0.08851303292242899	0.46621520380962034	encruzilhada do sul
													encruzilhada do sul
1.0	0.11104811059882566	0.29195786395594153	0.10243694570472694	0.3312168498819329	-0.22890600465232677	0.02817799279278581	0.17136651271867817	0.10240112869980193	0.029395927063102425	0.7808888844197975	-0.051451292615748885	0.6262025100326468	sao vicente do sul
2.0	0.011892580371960382	0.910415909345241	0.03328856085508018	0.7527507202979626	-0.16108384793981764	0.12503624774299793	0.08022096922133802	0.44715994929246833	0.001296923183502459	0.9902105451567004	-0.15585838842157002	0.13791933851461075	sao vicente do sul
													sao vicente do sul
1.0	0.06897230333171948	0.5355366539300032	0.06731772708748418	0.5453921664085261	0.028919596081651885	0.7952273914967256	0.1860481280256835	0.09217955758115726	0.08119493476701217	0.4655682177049396	0.1584818530086806	0.15242940381763032	teutonia
2.0	-0.060437088893590306	0.5872989912739844	-0.07312284376933678	0.5112078900309328	-0.041916438809888774	0.7067303399028266	0.049357474865003186	0.6576798584114854	-0.0036564443365204027	0.9738287352241962	0.1602849957831639	0.14775779957584897	teutonia
													teutonia
1.0	0.012641333590085915	0.9197565051982205	0.1854447440978018	0.13603008002087255	0.036980705426838505	0.7681518172589834	0.11951424480534298	0.33916391780155725	0.04612377435383684	0.7130613980020334	-0.10723499440231504	0.3914388847058413	clevelandia
2.0	-0.14371949052872002	0.2496242157210233	0.0802304904742872	0.5219284925236267	0.10174979568182826	0.4162534546630138	-0.06290705585716155	0.6158137165464119	-0.004700478252324065	0.9701202776864299	0.0761803979186771	0.54321931105799	clevelandia
													clevelandia
1.0	0.07517744872968356	0.5158149808268373	0.07979439484811286	0.4902938525915355	-0.2126891956576537	0.06329360241054986	0.10550502541248882	0.36113090780390306	-0.13657011603832614	0.2362725021526066	-0.21368117244198978	0.06204272650712914	general carneiro
2.0	-0.12497205638881778	0.27883472110259483	0.01928304925065651	0.8677981957399374	-0.012621169320083829	0.9132475802353435	-0.13809330323422617	0.23103699969976912	-0.16856235130521766	0.14279984922765226	-0.04746069550982656	0.6818901937387398	general carneiro
													general carneiro
1.0	0.10932841780104333	0.3134430611561262	0.013261475707786824	0.9029694525736904	0.16845430037650863	0.11883562638474368	0.17471077487766465	0.10555530069874683	-0.029691952686918096	0.7848512257900745	0.17279886559607294	0.109484741133932	sao mateus do sul
2.0	-0.13594489529641116	0.20929466955426004	-0.15266454996889234	0.15805185522103873	0.26292707994377956	0.013878046169723452	-0.058009062727972176	0.5935516336321877	-0.20281383142928353	0.05956625536858034	0.21435989453796794	0.04618076713367336	sao mateus do sul
													sao mateus do sul
