Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
112018,5,1,330201.0,2887598.0,8745.0
112018,7,1,5552520.0,19266672.0,3470.0
122018,1,1,23138.0,131317.0,5675.0
122018,2,1,195889.0,307975.0,1572.0
122018,5,1,330201.0,2887598.0,8745.0
122018,7,1,5552520.0,19266672.0,3470.0
12019,1,1,23105.0,161518.0,6991.0
12019,2,1,162306.0,260375.0,1604.0
12019,5,1,356022.0,3100000.0,8707.0
12019,7,1,5532698.0,17052153.0,3082.0
22019,1,1,23105.0,160030.0,6926.0
22019,2,1,162306.0,248322.0,1530.0
22019,5,1,356022.0,3096110.0,8696.0
22019,7,1,5537221.0,16548648.0,2989.0
32019,1,1,23105.0,160030.0,6926.0
32019,2,1,162306.0,248322.0,1530.0
32019,5,1,356022.0,3096110.0,8696.0
32019,7,1,5543887.0,16329725.0,2946.0
42019,1,1,23215.0,158790.0,6840.0
42019,2,1,162306.0,248322.0,1530.0
42019,5,1,358479.0,3156605.0,8806.0
42019,7,1,5437439.0,16254411.0,2989.0
52019,1,1,23378.0,142463.0,6094.0
52019,2,1,162322.0,247089.0,1522.0
52019,5,1,358779.0,3166720.0,8826.0
52019,7,1,5439039.0,16231264.0,2984.0
62019,1,1,23378.0,142250.0,6085.0
62019,2,1,162327.0,247092.0,1522.0
62019,5,1,359879.0,3173825.0,8819.0
62019,7,1,5441991.0,16220624.0,2981.0
72019,1,1,23378.0,142278.0,6086.0
72019,2,1,162327.0,247092.0,1522.0
72019,5,1,359879.0,3139800.0,8725.0
72019,7,1,5437391.0,16209573.0,2981.0
82019,1,1,23378.0,142278.0,6086.0
82019,2,1,162327.0,247092.0,1522.0
82019,5,1,358888.0,3139820.0,8749.0
82019,7,1,5442361.0,16247994.0,2985.0
92019,1,1,23078.0,134649.0,5835.0
92019,2,1,162327.0,247092.0,1522.0
92019,5,1,360095.0,3159735.0,8775.0
92019,7,1,5447916.0,16164807.0,2967.0
102019,1,1,23078.0,134649.0,5835.0
102019,2,1,162327.0,247092.0,1522.0
102019,5,1,360095.0,3159735.0,8775.0
102019,7,1,5447916.0,16164807.0,2967.0
112019,1,1,23078.0,134649.0,5835.0
112019,2,1,162327.0,247092.0,1522.0
112019,5,1,360095.0,3159735.0,8775.0
112019,7,1,5447916.0,16164807.0,2967.0
122019,1,1,23078.0,134649.0,5835.0
122019,2,1,162327.0,247092.0,1522.0
122019,5,1,360095.0,3159735.0,8775.0
122019,7,1,5447916.0,16164807.0,2967.0
12020,1,1,21530.0,151462.0,7035.0
12020,2,1,152221.0,305593.0,2008.0
12020,5,1,348801.0,3246989.0,9309.0
12020,7,1,5500482.0,19800869.0,3600.0
22020,1,1,21532.0,153467.0,7127.0
22020,2,1,152231.0,319002.0,2096.0
22020,5,1,348801.0,3308937.0,9487.0
22020,7,1,5501182.0,20450310.0,3717.0
32020,1,1,21822.0,140597.0,6443.0
32020,2,1,152341.0,319798.0,2099.0
32020,5,1,351971.0,3453339.0,9811.0
32020,7,1,5504222.0,20806623.0,3780.0
42020,1,1,21822.0,152400.0,6984.0
42020,2,1,152341.0,323300.0,2122.0
42020,5,1,352600.0,3515300.0,9970.0
42020,7,1,5505872.0,20745400.0,3768.0
52020,1,1,21900.0,153000.0,6986.0
52020,2,1,152341.0,322900.0,2120.0
52020,5,1,352600.0,3533700.0,10022.0
52020,7,1,5503500.0,20754000.0,3771.0
62020,1,1,21700.0,153400.0,7069.0
62020,2,1,152341.0,322900.0,2120.0
62020,5,1,352600.0,3534500.0,10024.0
62020,7,1,5503000.0,20749200.0,3771.0
72020,1,1,21300.0,151500.0,7113.0
72020,2,1,152500.0,319700.0,2096.0
72020,5,1,354100.0,3550900.0,10028.0
72020,7,1,5503200.0,20813000.0,3782.0
82020,1,1,20800.0,150600.0,7240.0
82020,2,1,152500.0,319700.0,2096.0
82020,5,1,355900.0,3564900.0,10017.0
82020,7,1,5505000.0,20755300.0,3770.0
92020,1,1,20800.0,150600.0,7240.0
92020,2,1,152500.0,319700.0,2096.0
92020,5,1,355900.0,3564900.0,10017.0
92020,7,1,5511200.0,20773900.0,3769.0
102020,1,1,21100.0,151600.0,7185.0
102020,2,1,152500.0,319700.0,2096.0
102020,5,1,355900.0,3564900.0,10017.0
102020,7,1,5512600.0,20842400.0,3781.0
112020,1,1,21100.0,151600.0,7185.0
112020,2,1,152400.0,316200.0,2075.0
112020,5,1,355900.0,3564900.0,10017.0
112020,7,1,5512200.0,20841100.0,3781.0
122020,1,1,21100.0,151600.0,7185.0
122020,2,1,152400.0,316200.0,2075.0
122020,5,1,355900.0,3564900.0,10017.0
122020,7,1,5516700.0,20871900.0,3783.0
12021,1,1,21100.0,147500.0,6991.0
12021,2,1,151400.0,283900.0,1875.0
12021,5,1,358700.0,3365200.0,9382.0
12021,7,1,5617100.0,20500700.0,3650.0
22021,1,1,21100.0,148400.0,7033.0
22021,2,1,151700.0,254600.0,1678.0
22021,5,1,359700.0,3171000.0,8816.0
22021,7,1,5616300.0,20449000.0,3641.0
32021,1,1,21100.0,148600.0,7043.0
32021,2,1,152300.0,255400.0,1677.0
32021,5,1,362700.0,3072800.0,8472.0
32021,7,1,5620500.0,20196400.0,3593.0
42021,1,1,21100.0,151100.0,7161.0
42021,2,1,152600.0,256900.0,1683.0
42021,5,1,372000.0,3120100.0,8387.0
42021,7,1,5622500.0,19890100.0,3538.0
52021,1,1,21100.0,155200.0,7355.0
52021,2,1,152600.0,256400.0,1680.0
52021,5,1,372000.0,3116700.0,8378.0
52021,7,1,5623600.0,19887300.0,3536.0
62021,1,1,21100.0,155200.0,7355.0
62021,2,1,152300.0,256500.0,1684.0
62021,5,1,372000.0,3103900.0,8344.0
62021,7,1,5629600.0,19873500.0,3530.0
72021,1,1,21100.0,155200.0,7355.0
72021,2,1,152600.0,257000.0,1684.0
72021,5,1,370600.0,3803700.0,10264.0
72021,7,1,5634900.0,19894400.0,3531.0
82021,1,1,21100.0,155800.0,7384.0
82021,2,1,152600.0,257000.0,1684.0
82021,5,1,372500.0,3115200.0,8363.0
82021,7,1,5629100.0,19854400.0,3527.0
92021,1,1,21100.0,156000.0,7393.0
92021,2,1,152600.0,257000.0,1684.0
92021,5,1,372500.0,3115200.0,8363.0
92021,7,1,5629100.0,19853900.0,3527.0
102021,1,1,21100.0,156000.0,7393.0
102021,2,1,152600.0,257000.0,1684.0
102021,5,1,372500.0,3115200.0,8363.0
102021,7,1,5629100.0,19853900.0,3527.0
112021,1,1,21000.0,152500.0,7262.0
112021,2,1,152600.0,257000.0,1684.0
112021,5,1,372700.0,3116800.0,8363.0
112021,7,1,5629000.0,19854000.0,3527.0
122021,1,1,21000.0,152500.0,7262.0
122021,2,1,152600.0,257000.0,1684.0
122021,5,1,372700.0,3116800.0,8363.0
122021,7,1,5629000.0,19854000.0,3527.0
12022,1,1,21800.0,152700.0,7005.0
12022,2,1,141000.0,190400.0,1350.0
12022,5,1,437500.0,2726600.0,6232.0
12022,7,1,5728800.0,13165100.0,2298.0
22022,1,1,21600.0,153200.0,7093.0
22022,2,1,140900.0,185800.0,1319.0
22022,5,1,434200.0,2764600.0,6367.0
22022,7,1,5691600.0,11764900.0,2067.0
32022,1,1,21668.0,140738.0,6495.0
32022,2,1,139140.0,194959.0,1401.0
32022,5,1,433371.0,2892905.0,6675.0
32022,7,1,5698769.0,11702387.0,2053.0
42022,1,1,21668.0,140900.0,6503.0
42022,2,1,139140.0,195100.0,1402.0
42022,5,1,433700.0,2941400.0,6782.0
42022,7,1,5702400.0,11967800.0,2099.0
52022,1,1,21668.0,133300.0,6152.0
52022,2,1,139300.0,195600.0,1404.0
52022,5,1,432900.0,2969800.0,6860.0
52022,7,1,5704200.0,12170100.0,2134.0
62022,1,1,21668.0,142000.0,6553.0
62022,2,1,139300.0,195600.0,1404.0
62022,5,1,431700.0,2970700.0,6881.0
62022,7,1,5702200.0,12189300.0,2138.0
72022,1,1,21668.0,143700.0,6632.0
72022,2,1,139300.0,195600.0,1404.0
72022,5,1,432000.0,2973200.0,6882.0
72022,7,1,5705900.0,12218100.0,2141.0
82022,1,1,21668.0,143700.0,6632.0
82022,2,1,139300.0,195600.0,1404.0
82022,5,1,432000.0,2961900.0,6856.0
82022,7,1,5720500.0,12193600.0,2132.0
92022,1,1,21505.0,140900.0,6552.0
92022,2,1,139300.0,195600.0,1404.0
92022,5,1,431470.0,2961944.0,6865.0
92022,7,1,5720696.0,12185395.0,2130.0
102022,1,1,21505.0,140900.0,6552.0
102022,2,1,139300.0,195600.0,1404.0
102022,5,1,432100.0,2963800.0,6859.0
102022,7,1,5720696.0,12185395.0,2130.0
112022,1,1,21505.0,140900.0,6552.0
112022,2,1,139300.0,195600.0,1404.0
112022,5,1,432100.0,2963800.0,6859.0
112022,7,1,5720696.0,12185395.0,2130.0
122022,1,1,21505.0,140900.0,6552.0
122022,2,1,139300.0,195600.0,1404.0
122022,5,1,432100.0,2963800.0,6859.0
122022,7,1,5720696.0,12185395.0,2130.0
12023,1,1,20900.0,156100.0,7469.0
12023,2,1,115900.0,195800.0,1689.0
12023,5,1,386700.0,3692500.0,9549.0
12023,7,1,5788000.0,20859100.0,3604.0
22023,1,1,20900.0,156100.0,7469.0
22023,2,1,114965.0,193269.0,1681.0
22023,5,1,386485.0,3696422.0,9564.0
