Data Medicao,Estado,TemperaturaMedia C,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
122022,3,23.0,,"1011,3","3,2"
012023,3,25.5,"100,8","1010,8","2,9"
022023,3,24.1,"151,8","1011,2","2,2"
032023,3,25.0,"91,4","1012,6","2,2"
042023,3,20.0,50,"1014,8","2,1"
052023,3,17.6,174,"1017,5","1,6"
062023,3,15.7,"188,6","1018,5","1,8"
072023,3,15.0,"194,6","1018,9","2,1"
082023,3,15.9,"73,4","1016,1","2,2"
092023,3,18.0,"375,2","1013,7","2,8"
102023,3,18.6,"99,4","1013,3","2,7"
112023,3,21.0,"233,2",1011,"2,7"
122023,3,24.0,"110,4","1011,4","2,9"
012024,3,24.0,"113,6","1012,4","2,9"
022024,3,25.5,"67,4","1012,9","2,7"
032024,3,24.0,90,1013,"2,2"
042024,3,21.5,247,"1013,6","2,3"
052024,3,16.7,"556,2","1015,5","2,4"
062024,3,17.0,175,"1015,8",2
072024,3,13.3,"93,4","1022,4","2,1"
082024,3,15.0,"69,4","1018,3","2,3"
092024,3,18.3,"209,4","1014,6","2,6"
102024,3,20.2,"73,6","1014,5","2,9"
112024,3,22.7,68,"1012,3",3
122024,3,22.1,"225,6","1010,9","3,1"
012014,3,23.5,"206,2","1010,2","5,1"
022014,3,23.2,"223,4",1012,"5,4"
032014,3,20.5,89,"1012,6","5,2"
042014,3,18.6,"67,8","1015,9",5
052014,3,14.8,"61,2","1015,8","3,7"
062014,3,13.0,"112,8",1017,"5,6"
072014,3,12.9,"97,6","1018,8","4,7"
082014,3,12.8,"30,4","1016,1","4,1"
092014,3,14.9,"149,4","1014,7","5,1"
102014,3,,,,
112014,3,,,,
122014,3,21.6,123,"1010,5","4,2"
012015,3,23.2,"215,8","1011,7","4,5"
022015,3,23.4,"62,8","1012,9","4,3"
032015,3,,,,
042015,3,,,,
052015,3,16.7,"65,8","1017,7","4,4"
062015,3,12.9,35,"1017,2",4
072015,3,12.9,"48,6","1017,7",4
082015,3,15.8,"337,6","1014,1",5
092015,3,13.9,"105,2","1014,6","5,7"
102015,3,15.1,"62,2","1015,8","6,1"
112015,3,17.8,"60,8",1013,"5,7"
122015,3,21.3,"72,6","1010,6","5,1"
012016,3,23.0,"27,2",1012,"4,8"
022016,3,23.6,"98,8","1011,4","4,5"
032016,3,20.9,"113,6","1015,6","5,8"
042016,3,18.9,"348,6","1013,2","5,6"
052016,3,13.3,58,"1019,5",5
062016,3,10.0,"31,4","1020,6","3,8"
072016,3,11.4,"161,8","1016,5","4,4"
082016,3,12.2,"96,8","1016,8","4,3"
092016,3,12.5,"97,2","1017,9","5,8"
102016,3,15.6,"116,6",1015,"5,7"
112016,3,17.9,"52,6","1013,2","5,2"
122016,3,20.9,"149,4","1010,2","4,9"
012017,3,22.6,"77,4","1011,4","4,8"
022017,3,24.0,"155,2","1009,8","4,1"
032017,3,21.7,"59,2","1014,8","5,5"
042017,3,18.8,"49,6","1014,9","5,3"
052017,3,16.5,127,"1016,1","4,6"
062017,3,13.9,"42,6","1015,9",4
072017,3,14.1,"71,4","1020,6","4,4"
082017,3,14.3,"166,6","1016,3",5
092017,3,16.4,"164,2","1017,5","5,7"
102017,3,17.0,,"1012,3","5,8"
112017,3,18.0,,"1011,9","5,7"
122017,3,21.4,,"1011,3","5,8"
012018,3,23.2,,"1010,9","5,4"
022018,3,22.5,,"1013,4",5
032018,3,20.5,,"1011,5","4,8"
042018,3,21.6,83,"1015,7","4,3"
052018,3,16.4,38,"1016,6","4,3"
062018,3,10.9,"78,8","1017,1","4,5"
072018,3,11.5,194,"1018,3","5,3"
082018,3,11.8,"134,8","1018,6","4,9"
092018,3,15.2,103,"1016,1","4,7"
102018,3,15.7,"81,4","1015,8","5,3"
112018,3,19.3,"93,2","1012,7","5,7"
122018,3,20.0,132,"1011,8","5,5"
012019,3,23.2,"213,4","1011,6","5,2"
022019,3,22.8,"13,8","1012,4","4,7"
032019,3,21.1,"85,6","1014,9","6,1"
042019,3,20.1,,,
052019,3,,,,
062019,3,,,,
072019,3,11.1,"99,2",1018,"4,6"
082019,3,11.1,"108,4","1020,5","4,7"
092019,3,12.8,"74,4","1017,4","4,8"
102019,3,16.3,"286,6","1014,8","5,3"
112019,3,19.4,"63,4","1012,9","4,7"
122019,3,20.8,"69,6","1010,4","5,1"
012020,3,22.4,"102,2","1011,3","5,2"
022020,3,22.3,"78,2","1013,2","5,6"
032020,3,22.4,"12,8","1015,1",5
042020,3,18.8,67,"1015,7","5,8"
052020,3,15.2,92,"1014,7","4,9"
062020,3,13.1,"256,6","1014,7","4,3"
072020,3,11.0,79,"1016,1","4,3"
082020,3,11.6,"62,2",1018,"4,2"
092020,3,12.7,"111,4",1017,"5,1"
102020,3,15.2,47,"1015,4","6,2"
112020,3,19.1,"27,8","1015,9","5,5"
122020,3,21.1,"43,8","1011,9","5,9"
012021,3,23.2,"93,4","1011,1","5,8"
022021,3,22.7,"341,4","1011,5","5,4"
032021,3,22.2,"116,8","1012,8","5,3"
042021,3,20.0,119,1017,"4,9"
052021,3,14.1,66,"1015,5","4,6"
062021,3,12.8,"178,2","1017,5",5
072021,3,10.9,"83,2","1018,7","4,1"
082021,3,12.7,"57,2","1019,1","4,1"
092021,3,14.8,,,
102021,3,,,,
112021,3,,,,
122021,3,,,,
012022,3,,,,
022022,3,,,,
032022,3,,,,
042022,3,,,,
052022,3,,,,
062022,3,,,,
072022,3,12.7,,"1014,5","4,3"
082022,3,12.3,,"1019,5","4,5"
092022,3,13.3,"37,4","1018,6",5
102022,3,16.0,139,"1015,1","5,8"
112022,3,19.3,"86,8","1016,3","4,8"
122022,3,21.7,"49,4","1011,5","5,4"
012023,3,23.8,"59,8","1011,6","5,4"
022023,3,23.1,"102,4",1011,"5,4"
032023,3,23.9,155,"1012,7","4,8"
042023,3,18.6,"16,2","1014,9","4,4"
052023,3,16.8,"53,4","1017,1","4,2"
062023,3,13.6,"25,4",1018,"3,7"
072023,3,13.2,"128,4","1018,5",5
082023,3,13.2,"53,2","1015,3","4,5"
092023,3,14.1,"168,8","1014,7",6
102023,3,15.6,"55,8","1014,2","5,6"
112023,3,18.3,"135,4","1011,4","5,7"
122023,3,20.8,"96,4","1012,3","5,6"
012024,3,22.8,"96,6",1014,5
022024,3,24.0,"88,6",1014,"4,7"
032024,3,22.1,"121,4","1013,3","4,4"
042024,3,19.1,"61,2","1013,7","5,1"
052024,3,14.3,"349,2","1016,1","4,8"
062024,3,15.0,"113,8","1014,3",4
072024,3,11.2,,"1022,4","3,5"
082024,3,12.5,,"1017,6","4,6"
092024,3,14.5,"138,8","1014,7","4,3"
102024,3,17.4,"75,6","1015,1","3,7"
112024,3,20.2,83,"1013,4",4
122024,3,19.7,"151,2","1011,6","0,5"
112016,3,,,,
122016,3,18.5,154,"899,8","2,9"
012017,3,19.7,"141,4","900,9","2,8"
022017,3,20.5,,901,"2,6"
032017,3,17.5,101,"902,6","3,1"
042017,3,14.9,"87,4","903,2","3,1"
052017,3,13.8,200,"903,2","2,8"
062017,3,11.9,121,904,3
072017,3,12.1,"8,2","908,8","2,8"
082017,3,13.2,91,"903,5","3,1"
092017,3,16.6,126,"904,7","2,7"
102017,3,15.2,"197,2","900,1","3,3"
112017,3,15.3,145,"899,4",3
122017,3,18.3,"81,8","899,5","2,9"
012018,3,18.5,141,"900,2","3,1"
022018,3,17.7,"114,4","901,1","2,8"
032018,3,18.1,"145,2","900,2","2,6"
042018,3,17.2,"72,2","904,5","2,4"
052018,3,13.2,77,"904,4","2,7"
062018,3,10.6,"177,8","903,8","3,1"
072018,3,12.1,"188,2","904,1","3,3"
082018,3,10.4,"86,6","904,3","3,2"
092018,3,14.4,"162,8","901,9",3
102018,3,14.6,"265,6","901,3","3,1"
112018,3,17.1,"99,6",901,"3,1"
122018,3,18.5,"139,6","900,8",3
012019,3,21.1,285,902,3
022019,3,18.3,182,"901,1","2,9"
032019,3,17.3,"112,2",903,"2,8"
042019,3,16.8,"140,8","902,1","2,6"
052019,3,,,,
062019,3,14.1,"21,4","905,1","2,9"
072019,3,10.9,"97,6","904,4","2,9"
082019,3,11.3,"51,6","906,4","3,1"
092019,3,13.7,"75,8","903,2",3
102019,3,16.3,248,"902,1",3
112019,3,16.8,"123,6","900,6",3
122019,3,18.6,"57,6","900,1",3
012020,3,18.9,"332,4","899,9","2,9"
022020,3,18.1,"72,6","901,9","2,9"
032020,3,18.4,20,"903,2","2,5"
042020,3,14.6,"35,4","903,5",3
052020,3,12.8,"66,4","902,8","3,2"
062020,3,12.2,,,
072020,3,,,,
082020,3,12.9,"97,4","904,6","2,6"
092020,3,14.1,"117,8",903,3
102020,3,15.5,"110,2","901,3","3,2"
112020,3,15.7,"161,8","901,8","2,8"
122020,3,17.9,151,"900,1","3,1"
012021,3,18.9,199,"900,4",3
022021,3,18.2,67,"900,3",3
032021,3,17.9,"89,8","900,9","2,6"
042021,3,15.2,"35,2","904,2","2,6"
052021,3,11.4,"196,8","902,9","2,8"
062021,3,10.2,"129,6","904,1","3,2"
072021,3,10.3,"35,6","905,5","3,2"
082021,3,12.9,81,"905,3",3
092021,3,14.4,"141,2","902,3","3,2"
102021,3,14.2,"91,8","901,9","3,1"
112021,3,16.4,"113,8","899,9",3
122021,3,17.3,53,"900,1","2,9"
012022,3,19.9,"199,4","900,3","2,9"
022022,3,19.4,"73,2","900,4","2,6"
032022,3,17.4,"152,8","901,3",3
042022,3,14.9,"125,8","902,4","2,6"
052022,3,10.9,"288,4","902,5","3,1"
062022,3,9.8,271,"902,9","2,9"
072022,3,14.2,"99,6","902,9","3,3"
082022,3,10.9,"103,4","904,5","3,1"
092022,3,11.2,"94,4","903,1","3,3"
102022,3,14.1,99,901,"3,1"
112022,3,14.7,"67,2","902,8","3,2"
122022,3,18.1,"200,6","899,5",3
012023,3,19.5,"125,6","900,5","2,7"
022023,3,18.4,"92,8","900,5","2,7"
032023,3,19.4,"139,6","902,2","2,8"
042023,3,14.8,"40,8","902,2","2,8"
052023,3,13.9,,,
062023,3,12.2,"122,8","904,6","3,1"
072023,3,11.7,174,"904,5",3
082023,3,13.1,"76,6","902,6",3
092023,3,15.2,"412,4","901,2","3,3"
102023,3,14.4,"324,2","900,2","2,9"
112023,3,17.0,"479,6","899,5","3,1"
122023,3,19.4,"154,8","900,7",3
012024,3,18.6,"180,6","901,1",3
022024,3,20.3,"68,8","902,4","2,8"
032024,3,19.3,"58,6","902,2","2,5"
042024,3,17.4,"182,8","902,2",3
052024,3,13.5,"650,4","901,9","3,3"
062024,3,13.7,"387,6","903,1","3,4"
072024,3,10.8,"72,4","906,7","2,6"
082024,3,13.1,"93,8","904,3","3,1"
092024,3,16.2,"100,6","902,2","3,1"
102024,3,15.6,127,"901,9","3,2"
112024,3,17.5,96,"900,8",3
122024,3,16.9,"160,2","899,2","3,2"
022019,3,,,,
032019,3,21.2,"146,6","937,6","3,1"
042019,3,20.5,146,937,"2,7"
052019,3,17.9,"299,6","937,7","3,2"
062019,3,18.0,"43,2","940,6","3,7"
072019,3,14.4,"93,4","940,7","3,3"
082019,3,15.8,"28,6","942,1","3,9"
092019,3,19.4,"56,4","937,8",4
102019,3,21.7,"197,4","936,4","3,8"
112019,3,22.6,"183,2","934,6","3,5"
122019,3,22.8,"149,6","934,9","3,2"
012020,3,23.6,115,"934,2","3,3"
022020,3,22.6,"158,8","936,2","3,1"
032020,3,23.4,"33,2","937,4","2,9"
042020,3,18.8,"87,8","939,3","3,1"
052020,3,15.6,"185,6","939,4","3,3"
062020,3,16.4,296,"938,4","4,2"
072020,3,15.0,"166,8","939,2","3,9"
082020,3,17.3,"117,8","939,8","3,5"
092020,3,20.5,"40,2","937,4","3,8"
102020,3,22.1,"19,2","935,7","3,5"
112020,3,22.0,"138,6",936,"3,6"
122020,3,23.6,"239,2","934,3","3,4"
012021,3,22.7,,"934,5","3,8"
022021,3,22.0,"76,8","935,1",3
032021,3,22.2,"97,8","935,7",3
042021,3,19.6,23,"938,9","3,1"
052021,3,16.1,"67,6","939,1","3,1"
062021,3,13.7,"185,6","940,3","3,3"
072021,3,13.4,56,"942,2","3,4"
082021,3,17.6,,"941,4","3,5"
092021,3,,,,
102021,3,19.2,"323,6","936,4","3,5"
112021,3,22.5,108,"934,5","3,3"
122021,3,24.6,"7,4","933,6","3,4"
012022,3,24.8,"89,6","934,1","3,5"
022022,3,24.2,104,"934,9","3,1"
032022,3,21.5,"209,6",936,"3,3"
042022,3,18.9,"268,6","937,3","3,3"
052022,3,14.5,306,"938,9","3,3"
062022,3,13.7,"207,8","939,1","3,3"
072022,3,18.1,"78,6","938,5","4,2"
082022,3,15.1,"175,2","939,9","3,7"
092022,3,15.4,145,"938,5","3,7"
102022,3,18.4,"361,6","936,1","3,4"
112022,3,20.2,49,"937,1","3,8"
122022,3,23.6,"89,8","933,6","3,2"
012023,3,23.9,"137,8","934,8",3
022023,3,22.3,111,"935,4","2,9"
032023,3,23.1,"86,6","936,8","2,8"
042023,3,19.2,"156,2","937,2","2,8"
052023,3,17.4,"208,4",940,"2,9"
062023,3,15.5,"182,6","940,8","3,6"
072023,3,16.3,"191,6","940,2","3,5"
082023,3,17.6,"102,6",938,"3,6"
092023,3,20.8,"219,6","935,8","4,3"
102023,3,19.6,"493,6","934,7","3,6"
112023,3,22.4,401,"933,9",4
122023,3,23.9,"197,2","935,1","3,3"
012024,3,23.4,"195,6","935,1","3,6"
022024,3,24.2,,"936,3",3
032024,3,23.3,"136,8","936,6","3,1"
042024,3,22.1,181,"936,7","3,5"
052024,3,17.1,"276,8","937,8",4
062024,3,17.9,"196,2","938,7",4
072024,3,14.5,"169,8","942,2","3,3"
082024,3,17.2,119,"940,2","3,9"
092024,3,21.0,"90,4","936,9","3,9"
102024,3,21.1,209,"936,1","3,7"
112024,3,22.6,"162,2","934,7","3,3"
122024,3,22.4,,"933,8","3,4"
032016,3,,,,
042016,3,19.2,,,
052016,3,12.9,"46,4","962,2","1,1"
062016,3,9.2,11,"964,5",1
072016,3,12.2,"170,6","961,4","1,3"
082016,3,13.9,"129,4","960,5","1,2"
092016,3,14.3,54,"961,3","1,5"
102016,3,17.8,"321,2","957,7","1,5"
112016,3,19.4,"68,8","957,3","1,3"
122016,3,22.1,"175,2","955,4","1,4"
012017,3,22.8,135,"956,4","1,3"
022017,3,23.2,"156,8","956,2","1,3"
032017,3,20.8,204,"958,5","1,2"
042017,3,17.4,212,"959,9","1,2"
052017,3,16.2,345,"959,9","1,2"
062017,3,13.6,166,"961,6","1,2"
072017,3,13.1,"29,6","966,2","1,2"
082017,3,15.0,"103,8","960,7","1,4"
092017,3,19.4,"131,4","960,9","1,3"
102017,3,18.3,"271,2","956,6","1,6"
112017,3,18.6,"221,6","955,8","1,4"
122017,3,22.3,120,"955,1","1,3"
012018,3,22.1,187,"955,8","1,3"
022018,3,21.0,83,"956,9","1,1"
032018,3,20.5,125,"956,3","1,1"
042018,3,20.1,"41,4","960,7",1
052018,3,15.6,,,
062018,3,12.0,,"962,3","1,2"
072018,3,13.2,"186,4","961,8","1,3"
082018,3,11.9,"167,4","962,4","1,3"
092018,3,17.3,"220,8","958,3","1,3"
102018,3,18.2,"247,8","957,7","1,4"
112018,3,21.1,224,"956,7","1,5"
122018,3,21.6,177,"956,6","1,3"
012019,3,24.1,"175,2","957,2","1,3"
022019,3,21.3,196,"956,8","1,1"
032019,3,19.9,"154,6","959,1","1,1"
042019,3,19.3,"153,2","958,3",1
052019,3,17.0,"208,6","959,3","1,1"
062019,3,15.5,"34,6","961,9","1,1"
072019,3,11.9,"120,2","962,4","1,1"
082019,3,13.3,"72,6",964,"1,3"
092019,3,15.7,"74,8","959,9","1,3"
102019,3,19.0,"318,4","958,1","1,3"
112019,3,21.1,"192,4","956,2","1,4"
122019,3,22.9,"48,4","955,6","1,5"
012020,3,22.8,153,"955,4","1,3"
022020,3,22.2,89,"957,5","1,3"
032020,3,22.2,"10,4","958,7","1,1"
042020,3,16.9,"43,8","960,7","1,2"
052020,3,14.0,"131,4","960,6","1,3"
062020,3,14.7,"184,2","959,8","1,4"
072020,3,11.9,"500,2","960,8","1,2"
082020,3,14.0,"115,6","961,8","1,1"
092020,3,16.7,"102,4","959,4","1,3"
102020,3,19.2,"30,2","957,5","1,5"
112020,3,20.1,86,"957,9","1,4"
122020,3,22.1,"118,8","955,6","1,4"
012021,3,22.5,"381,4","955,7","1,3"
022021,3,21.0,"92,8","956,2","1,1"
032021,3,20.9,126,"956,9",1
042021,3,17.9,"13,2","960,7","1,1"
052021,3,12.6,"223,8","960,8","1,1"
062021,3,,,"962,2","1,2"
072021,3,10.6,"41,4","963,7","1,1"
082021,3,15.1,"112,4",962,"1,2"
092021,3,17.4,"186,8","958,8","1,4"
102021,3,17.8,"191,4","958,2","1,3"
112021,3,20.6,"52,2","955,9","1,4"
122021,3,22.4,"78,4","955,4","1,3"
012022,3,24.4,"103,6","955,2","1,4"
022022,3,22.6,"107,6","955,9","1,2"
032022,3,20.5,"235,4","957,2","1,3"
042022,3,17.4,165,"958,9","1,1"
052022,3,13.0,"315,4","960,6","1,2"
062022,3,10.7,,961,1
072022,3,15.5,"91,4","959,6","1,3"
082022,3,13.3,129,962,"1,2"
092022,3,14.5,"74,4","960,6","1,4"
102022,3,17.1,"83,8","957,8","1,4"
112022,3,18.6,81,"959,3","1,4"
122022,3,22.0,"160,2","954,9","1,2"
012023,3,23.6,"83,4","955,6","1,2"
022023,3,21.7,"86,8","956,3","1,1"
032023,3,22.4,"180,4","957,8","1,1"
042023,3,17.5,"85,2","958,8","1,1"
052023,3,15.3,"167,8","961,4","0,8"
062023,3,13.5,"177,8","962,4",1
072023,3,13.9,"225,8",962,"1,2"
082023,3,14.9,"69,6","959,7","1,2"
092023,3,17.4,"539,4","957,3","1,4"
102023,3,17.7,"343,4","956,6","1,2"
112023,3,20.2,"567,2","955,1","1,2"
122023,3,22.6,"165,2","956,1","1,2"
012024,3,22.1,"234,2","956,6","1,2"
022024,3,23.7,"223,2","957,5","1,1"
032024,3,21.8,"131,4","957,9",1
042024,3,20.2,"267,2","957,9","1,2"
052024,3,14.9,"724,6","959,2","1,3"
062024,3,16.1,404,"959,9","1,2"
072024,3,13.3,,"964,6","0,9"
082024,3,14.6,"82,8","961,6","1,3"
092024,3,18.2,"148,4","958,3","1,3"
102024,3,19.4,"149,6","957,9","1,4"
112024,3,21.9,"52,8","956,2","1,4"
122024,3,20.8,"198,6","955,1","1,4"
032018,3,19.7,,,
042018,3,20.9,247,"968,9","2,1"
052018,3,15.7,"56,6","969,6","2,5"
062018,3,10.9,"123,2","969,9","2,4"
072018,3,11.6,214,970,3
082018,3,12.0,"150,2","970,6","2,9"
092018,3,16.7,"304,6","967,2","2,9"
102018,3,17.1,"94,4","966,8","3,1"
112018,3,20.6,"138,6","965,4","2,9"
122018,3,21.5,"161,2",965,"2,7"
012019,3,23.8,"205,2","965,4","2,8"
022019,3,22.3,55,"965,6","2,4"
032019,3,20.5,"71,4","967,7","2,7"
042019,3,,,,
052019,3,16.3,"189,2","968,4","2,7"
062019,3,16.4,58,"969,6","2,5"
072019,3,11.8,"263,4","970,5","2,6"
082019,3,12.9,"119,8","972,5","2,9"
092019,3,14.6,"102,8","968,8","2,9"
102019,3,18.3,354,"966,8","3,1"
112019,3,20.4,"110,4","965,2","2,7"
122019,3,23.2,"52,4","964,2","2,6"
012020,3,23.0,"117,4","964,2","2,6"
022020,3,22.6,"9,4","966,3","2,6"
032020,3,23.0,29,"967,6","2,4"
042020,3,18.3,"40,2",969,"2,7"
052020,3,15.1,"171,2","968,3","2,6"
062020,3,13.8,"151,6","967,6","2,7"
072020,3,11.6,135,"968,8","2,8"
082020,3,14.7,"85,8","970,2","2,8"
092020,3,14.7,"228,4","968,3","2,9"
102020,3,17.1,"105,4","966,6","3,2"
112020,3,19.4,"72,8","967,2","2,9"
122020,3,21.5,68,"964,5","2,8"
012021,3,23.0,,964,"2,6"
022021,3,21.8,"148,8","964,8","2,2"
032021,3,,,"965,5","2,5"
042021,3,,,,
052021,3,,,,
062021,3,,,,
072021,3,,,,
082021,3,,,,
092021,3,15.5,"261,6","967,5",3
102021,3,17.5,77,"967,2","2,8"
112021,3,19.9,"68,6","964,8",3
122021,3,21.3,"46,6",965,"2,9"
012022,3,24.8,"74,6","963,9","2,8"
022022,3,22.9,"144,8","964,4","2,5"
032022,3,20.1,"119,6","965,7","2,9"
042022,3,17.3,"202,4","967,4","2,4"
052022,3,13.3,"110,4","968,8","2,6"
062022,3,11.0,122,"969,3","2,4"
072022,3,14.5,"181,8","967,3","2,3"
082022,3,12.7,"114,4","970,7","2,7"
092022,3,13.9,"74,6","969,4","2,8"
102022,3,16.4,"107,2","966,6","2,8"
112022,3,19.3,"55,8","968,4","2,6"
122022,3,22.4,42,"963,9","2,8"
012023,3,24.2,"64,4","964,3","2,4"
022023,3,22.9,"149,6","964,6","2,4"
032023,3,23.2,"176,4","966,1","2,3"
042023,3,17.9,"41,4","967,4","2,5"
052023,3,16.5,"218,4","969,6",2
062023,3,14.2,"125,2","970,3","2,3"
072023,3,12.7,"219,2","970,3","2,7"
082023,3,14.6,"105,6","967,8","2,4"
092023,3,15.7,"505,6","965,8","3,2"
102023,3,16.6,"172,4","965,5","2,9"
112023,3,19.3,"263,8","963,7","2,7"
122023,3,22.0,"116,8","964,6","2,9"
012024,3,22.3,"95,8","965,6","2,7"
022024,3,23.8,"94,2","966,3","2,4"
032024,3,22.1,73,"965,9","2,3"
042024,3,,,,
052024,3,,,,
062024,3,15.3,,"966,6","2,8"
072024,3,11.6,"76,2","973,3","2,4"
082024,3,13.5,"129,4","969,6","2,8"
092024,3,16.7,242,"966,6","2,8"
102024,3,18.4,"163,6","966,7","2,8"
112024,3,21.0,45,"965,1","2,9"
122024,3,20.1,"105,4","963,7","3,1"
042016,3,20.4,,"997,9","3,2"
052016,3,13.7,100,"1003,8","3,1"
062016,3,10.6,"66,6","1006,3","2,4"
072016,3,13.2,"77,8","1002,2",3
082016,3,15.5,"94,4","1001,2",3
092016,3,15.2,"40,6","1002,8","3,4"
102016,3,18.9,"362,8",998,"3,8"
112016,3,21.0,"227,6","997,7","3,3"
122016,3,24.1,"180,6","994,9","3,1"
012017,3,24.4,"221,6","995,8","3,1"
022017,3,24.3,"149,4","995,3","2,3"
032017,3,22.1,"198,6","998,3","3,5"
042017,3,18.9,"209,4","999,8","3,1"
052017,3,16.8,"303,6",1000,"3,2"
062017,3,15.3,"122,2","1001,8","2,8"
072017,3,16.0,"29,8","1005,8","2,5"
082017,3,16.3,"248,4","1000,7","3,1"
092017,3,19.5,"154,6","1000,8","3,8"
102017,3,19.1,"197,2","996,6","3,9"
112017,3,21.1,"72,4","996,2","3,5"
122017,3,24.5,"93,4","994,6","3,5"
012018,3,24.5,"218,8","995,1","3,3"
022018,3,23.4,"73,6","996,7","3,2"
032018,3,22.1,"186,4","996,3","2,8"
042018,3,22.4,"82,4","1000,2","2,5"
052018,3,16.9,"80,2","1001,8",3
062018,3,11.8,,,
072018,3,13.2,,,
082018,3,12.7,"116,8","1003,8","3,1"
092018,3,18.6,"180,8","998,5","3,9"
102018,3,19.4,"87,6","998,3","4,3"
112018,3,22.7,"234,8","996,4","3,5"
122018,3,23.6,"271,6","996,4","3,1"
012019,3,25.1,"436,4","996,2","3,2"
022019,3,23.7,"50,8","996,8","3,1"
032019,3,21.7,183,"999,2","2,9"
042019,3,20.7,"240,8","998,7","2,7"
052019,3,17.9,"217,6",1000,3
062019,3,17.7,"35,2","1001,4","2,5"
072019,3,12.9,"198,2","1003,4","2,5"
082019,3,14.3,"43,8","1004,9","3,3"
092019,3,16.3,"73,2","1000,8","3,7"
102019,3,20.1,"281,4",998,4
112019,3,22.3,"143,4","996,1","3,9"
122019,3,24.7,"30,6","995,5","2,9"
012020,3,24.7,"245,8","995,1","3,5"
022020,3,23.9,"41,4","997,4","3,1"
032020,3,24.5,"37,6","998,3","3,1"
042020,3,19.4,32,"1001,4","2,7"
052020,3,15.6,"127,2","1002,1","2,2"
062020,3,14.0,,,
072020,3,11.3,,"1002,8","2,6"
082020,3,15.5,"40,4","1001,9","2,9"
092020,3,,,,
102020,3,,,,
112020,3,,,,
122020,3,23.6,"56,8","995,8","3,5"
012021,3,24.3,"262,4",995,"3,5"
022021,3,23.0,60,"996,3","2,6"
032021,3,22.2,"120,8","997,3","2,7"
042021,3,20.2,"59,4","1000,9",3
052021,3,14.2,250,"1001,9","2,5"
062021,3,13.0,"198,4","1003,4","2,8"
072021,3,12.5,"21,8","1004,7","2,5"
082021,3,15.4,"67,8","1002,5","3,3"
092021,3,17.0,"250,8","999,3","3,9"
102021,3,19.0,"139,8","998,9","3,6"
112021,3,22.0,57,"996,3","3,8"
122021,3,24.1,"33,4","995,6","4,3"
012022,3,27.0,"120,8","994,2","3,4"
022022,3,24.8,"55,4","995,4","2,9"
032022,3,21.5,"222,6","997,4",3
042022,3,18.5,"215,2","999,1","2,9"
052022,3,14.3,,"1002,7","2,6"
062022,3,11.8,"125,4","1002,7","2,6"
072022,3,16.0,"136,6","999,2","3,1"
082022,3,13.7,"91,8","1003,3","3,4"
092022,3,15.1,"66,8",1002,"3,4"
102022,3,18.2,"51,4","998,7","3,8"
112022,3,21.4,"56,2","999,7","4,1"
122022,3,25.3,"55,8","994,7","3,7"
012023,3,26.4,82,995,"3,2"
022023,3,24.7,"73,8","995,9","2,7"
032023,3,24.9,113,"997,2","2,5"
042023,3,19.6,95,"999,7","2,8"
052023,3,17.0,"115,8","1001,8","2,3"
062023,3,,,,
072023,3,,,,
082023,3,15.9,"81,8","999,8","3,2"
092023,3,18.0,"474,6","997,2","4,2"
102023,3,18.2,"291,4","997,1","3,8"
112023,3,21.5,"230,2","994,7","3,8"
122023,3,23.8,"286,2","995,7","3,6"
012024,3,23.9,96,"996,5","3,8"
022024,3,25.4,"127,8","996,9","3,3"
032024,3,23.5,,"996,9",3
042024,3,,,,
052024,3,15.1,"396,4","1000,3","3,2"
062024,3,17.2,"129,2","999,6","3,4"
072024,3,12.8,19,"1006,2","3,2"
082024,3,14.7,"235,8","1002,2","3,5"
092024,3,18.4,"141,8","998,2","3,5"
102024,3,20.3,"113,6","998,2","3,9"
112024,3,22.9,"80,2","996,1","3,9"
122024,3,22.5,"58,8","995,5","3,7"
072019,3,,,,
082019,3,12.8,"99,8","1020,6","3,2"
092019,3,14.7,"142,2",1017,"3,2"
102019,3,18.5,259,1014,"3,5"
112019,3,21.1,99,"1012,2","3,8"
122019,3,22.7,"37,6","1010,3","3,4"
012020,3,23.8,"38,4","1010,4","3,3"
022020,3,23.4,"33,4","1012,7","3,7"
032020,3,23.0,"36,8","1014,2","3,1"
042020,3,19.0,"102,6","1015,7","3,7"
052020,3,15.6,"91,4","1014,9",3
062020,3,14.4,"209,8","1014,9",3
072020,3,12.2,"126,8","1016,4",3
082020,3,13.9,"51,2","1017,9","2,8"
092020,3,14.7,"190,8","1016,4","3,3"
102020,3,17.4,"130,4","1014,3","3,8"
112020,3,19.9,"29,6","1014,7","3,3"
122020,3,22.1,"143,8","1011,2","3,8"
012021,3,24.0,,"1010,1","3,2"
022021,3,22.8,"210,6","1010,9",3
032021,3,22.0,"227,6","1012,1","2,8"
042021,3,19.8,"29,8","1016,6",3
052021,3,13.9,37,1016,"2,8"
062021,3,13.4,"101,4","1017,8","3,4"
072021,3,11.9,70,"1019,1","2,9"
082021,3,14.5,"143,4","1018,6","2,9"
092021,3,16.7,222,"1015,2","3,7"
102021,3,17.8,"82,2","1014,9","3,5"
