Data,Estado,TemperaturaMedia C,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",Produto,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
102021,1,20.261410129803345,105.89791440714222,942.42468541025,1.7549712474212305,4,1500.0,1100.0,733.0
102021,1,20.261410129803345,105.89791440714222,942.42468541025,1.7549712474212305,5,372500.0,3115200.0,8363.0
102021,1,20.261410129803345,105.89791440714222,942.42468541025,1.7549712474212305,6,2517800.0,5796200.0,2302.0
102021,1,20.261410129803345,105.89791440714222,942.42468541025,1.7549712474212305,7,5629100.0,19853900.0,3527.0
102021,1,20.261410129803345,105.89791440714222,942.42468541025,1.7549712474212305,8,1213100.0,3239400.0,2670.0
102021,1,20.261410129803345,105.89791440714222,942.42468541025,1.7549712474212305,9,65300.0,146700.0,2247.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,1,149235.0,1157868.0,7759.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,2,32769.0,63453.0,1936.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,3,22502.0,34630.0,1539.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,4,,,
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,5,336556.0,2200000.0,6537.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,6,,,
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,7,680000.0,2343625.0,3447.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,8,84651.0,275638.0,3256.0
102021,2,17.291523978012258,148.31920894837674,940.701228878502,1.968155595571562,9,89544.0,193140.0,2157.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,1,949073.0,8258255.0,8701.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,2,36110.0,54319.0,1504.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,3,24290.0,35389.0,1457.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,4,,,
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,5,776277.0,4379651.0,5642.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,6,,,
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,7,6107258.0,20419712.0,3344.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,8,1194903.0,3558191.0,2978.0
102021,3,18.110056737588653,116.76257441544756,973.5679864706065,2.523025501405001,9,159717.0,344496.0,2157.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,1,21505.0,140900.0,6552.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,2,139300.0,195600.0,1404.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,3,338302.0,560385.0,1656.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,4,600.0,800.0,1333.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,5,432100.0,2963800.0,6859.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,6,2720300.0,13294700.0,4887.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,7,5720696.0,12185395.0,2130.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,8,1191800.0,3567100.0,2993.0
102022,1,19.941691947387717,128.94277287352446,942.0353035822848,1.7975975306359722,9,69800.0,155200.0,2223.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,1,148281.0,1170689.0,7895.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,2,33500.0,52930.0,1580.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,3,29000.0,46400.0,1600.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,4,,,
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,5,339257.0,2054536.0,6056.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,6,,,
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,7,736371.0,2022717.0,2747.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,8,90000.0,297000.0,3300.0
102022,2,17.47445689386866,166.91947981937744,940.3717279511836,1.970618972404687,9,86660.0,188014.0,2170.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,1,931934.0,7493127.0,8040.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,2,31800.0,40750.0,1281.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,3,30057.0,44700.0,1487.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,4,,,
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,5,772541.0,3000740.0,3884.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,6,,,
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,7,6215638.0,9341148.0,1503.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,8,1497186.0,4807068.0,3211.0
102022,3,17.34804964539007,108.32925068430389,974.5738447125682,2.5911530446417057,9,149149.0,294029.0,1971.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,1,20600.0,156200.0,7583.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,2,115900.0,199000.0,1717.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,3,294700.0,478000.0,1622.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,4,1200.0,1600.0,1333.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,5,379100.0,3783500.0,9980.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,6,2383600.0,14019200.0,5882.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,7,5831500.0,22485000.0,3856.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,8,1412900.0,3855200.0,2729.0
102023,1,21.087995337995338,135.25744913155856,942.082635474783,1.7219829233537416,9,71966.0,171500.0,2383.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,1,142744.0,1215419.0,8515.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,2,30601.0,64299.0,2101.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,3,28354.0,51188.0,1805.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,4,,,
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,5,316606.0,2532372.0,7998.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,6,11230.0,57171.0,5091.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,7,775849.0,2972269.0,3831.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,8,130940.0,420617.0,3212.0
102023,2,18.0437074829932,153.77317484133437,944.555397184732,1.890252439606543,9,86091.0,200922.0,2334.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,1,835415.0,7066687.0,8459.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,2,28331.0,40691.0,1436.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,3,19249.0,28016.0,1455.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,4,,,
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,5,816193.0,3962100.0,4854.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,6,,,
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,7,6637135.0,12688793.0,1912.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,8,1500855.0,3723130.0,2481.0
102023,3,17.76875,153.83261487551033,974.6421155876064,2.667863054504451,9,147927.0,298425.0,2017.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,1,19500.0,121700.0,6241.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,2,107800.0,160400.0,1488.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,3,430500.0,669000.0,1554.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,4,700.0,700.0,1000.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,5,294400.0,2524800.0,8576.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,6,2533800.0,12515300.0,4939.0
102024,1,21.720677655677655,126.82347180327488,942.9014594388324,1.7132444420210895,7,5835100.0,18639000.0,3194.0
