Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
042015,4,1,4913.0,5262.0,1071.0
042015,5,1,542919.0,4671246.0,8604.0
042015,6,1,1892143.0,10047801.0,5310.0
042015,7,1,5206901.0,17147805.0,3293.0
042015,8,1,1356320.0,4070420.0,3001.0
042015,9,1,78189.0,184636.0,2361.0
052015,1,1,28144.0,164543.0,5846.0
052015,2,1,192762.0,332147.0,1723.0
052015,3,1,213785.0,400738.0,1874.0
052015,4,1,5238.0,6119.0,1168.0
052015,5,1,542419.0,4679671.0,8627.0
052015,6,1,1893493.0,10390011.0,5487.0
052015,7,1,5206901.0,17147805.0,3293.0
052015,8,1,1322503.0,3959259.0,2994.0
052015,9,1,78189.0,184636.0,2361.0
062015,1,1,28144.0,164543.0,5846.0
062015,2,1,192762.0,332147.0,1723.0
062015,3,1,209915.0,392083.0,1868.0
062015,4,1,5238.0,6119.0,1168.0
062015,5,1,542386.0,4688823.0,8645.0
062015,6,1,1914368.0,10782264.0,5632.0
062015,7,1,5207082.0,17145020.0,3293.0
062015,8,1,1324048.0,3959722.0,2991.0
062015,9,1,78189.0,184636.0,2361.0
072015,1,1,28144.0,164543.0,5846.0
072015,2,1,192762.0,332147.0,1723.0
072015,3,1,209915.0,392083.0,1868.0
072015,4,1,5238.0,6119.0,1168.0
072015,5,1,542386.0,4688823.0,8645.0
072015,6,1,1916933.0,11010142.0,5744.0
072015,7,1,5207082.0,17145020.0,3293.0
072015,8,1,1320528.0,3962696.0,3001.0
072015,9,1,78189.0,184636.0,2361.0
082015,1,1,28144.0,164543.0,5846.0
082015,2,1,192762.0,332147.0,1723.0
082015,3,1,209915.0,392083.0,1868.0
082015,4,1,5110.0,4840.0,947.0
082015,5,1,542386.0,4688823.0,8645.0
082015,6,1,1914243.0,11179970.0,5840.0
082015,7,1,5207082.0,17145020.0,3293.0
082015,8,1,1336128.0,3962696.0,2966.0
082015,9,1,78189.0,184636.0,2361.0
092015,1,1,28144.0,164543.0,5846.0
092015,2,1,192762.0,332147.0,1723.0
092015,3,1,209915.0,392083.0,1868.0
092015,4,1,5110.0,4840.0,947.0
092015,5,1,542386.0,4688823.0,8645.0
092015,6,1,1924854.0,11284993.0,5863.0
092015,7,1,5207082.0,17145020.0,3293.0
092015,8,1,1335678.0,3606878.0,2700.0
092015,9,1,78189.0,184636.0,2361.0
102015,1,1,28144.0,164543.0,5846.0
102015,2,1,192762.0,332147.0,1723.0
102015,3,1,209915.0,392083.0,1868.0
102015,4,1,5110.0,4840.0,947.0
102015,5,1,542386.0,4688823.0,8645.0
