Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
novembro 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
novembro 2014,1.14 Milho (2 Safra),Parana,1900492,,10350777,5446
novembro 2014,1.15 Soja,Parana,5018523,,14806462,2950
novembro 2014,1.17 Trigo,Parana,1359858,,3779374,2779
novembro 2014,15 Fumo,Parana,76137,,171673,2255
dezembro 2014,1.4 Arroz,Parana,30152,,153981,5107
dezembro 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
dezembro 2014,1.9 Feijao (2 Safra),Parana,275137,,403682,1467
dezembro 2014,1.10 Feijao (3 Safra),Parana,4917,,4982,1013
dezembro 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
dezembro 2014,1.14 Milho (2 Safra),Parana,1900492,,10350777,5446
dezembro 2014,1.15 Soja,Parana,5018523,,14806462,2950
dezembro 2014,1.17 Trigo,Parana,1360859,,3720582,2734
dezembro 2014,15 Fumo,Parana,76137,,171673,2255
janeiro 2015,1.4 Arroz,Parana,28200,,161614,5731
janeiro 2015,1.8 Feijao (1 Safra),Parana,193262,,332035,1718
janeiro 2015,1.9 Feijao (2 Safra),Parana,223545,,421154,1884
janeiro 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
janeiro 2015,1.13 Milho (1 Safra),Parana,536664,,4588963,8551
janeiro 2015,1.14 Milho (2 Safra),Parana,1868955,,9919722,5308
janeiro 2015,1.15 Soja,Parana,5180054,,16855853,3254
janeiro 2015,1.17 Trigo,Parana,1356958,,3869723,2852
janeiro 2015,15 Fumo,Parana,78289,,182827,2335
fevereiro 2015,1.4 Arroz,Parana,28320,,161883,5716
fevereiro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
fevereiro 2015,1.9 Feijao (2 Safra),Parana,228545,,453719,1985
fevereiro 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
fevereiro 2015,1.13 Milho (1 Safra),Parana,542064,,4635660,8552
fevereiro 2015,1.14 Milho (2 Safra),Parana,1865155,,9953471,5337
fevereiro 2015,1.15 Soja,Parana,5182569,,16981846,3277
fevereiro 2015,1.17 Trigo,Parana,1356958,,3869723,2852
fevereiro 2015,15 Fumo,Parana,78289,,185067,2364
marco 2015,1.4 Arroz,Parana,28438,,163885,5763
marco 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
marco 2015,1.9 Feijao (2 Safra),Parana,218982,,430544,1966
marco 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
marco 2015,1.13 Milho (1 Safra),Parana,542483,,4668223,8605
marco 2015,1.14 Milho (2 Safra),Parana,1867226,,9981747,5346
marco 2015,1.15 Soja,Parana,5203665,,16998875,3267
marco 2015,1.17 Trigo,Parana,1350070,,4045343,2996
marco 2015,15 Fumo,Parana,78189,,184636,2361
abril 2015,1.4 Arroz,Parana,28438,,163885,5763
abril 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
abril 2015,1.9 Feijao (2 Safra),Parana,218982,,430544,1966
abril 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
abril 2015,1.13 Milho (1 Safra),Parana,542919,,4671246,8604
abril 2015,1.14 Milho (2 Safra),Parana,1892143,,10047801,5310
abril 2015,1.15 Soja,Parana,5206901,,17147805,3293
abril 2015,1.17 Trigo,Parana,1356320,,4070420,3001
abril 2015,15 Fumo,Parana,78189,,184636,2361
maio 2015,1.4 Arroz,Parana,28144,,164543,5846
maio 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
maio 2015,1.9 Feijao (2 Safra),Parana,213785,,400738,1874
maio 2015,1.10 Feijao (3 Safra),Parana,5238,,6119,1168
maio 2015,1.13 Milho (1 Safra),Parana,542419,,4679671,8627
maio 2015,1.14 Milho (2 Safra),Parana,1893493,,10390011,5487
maio 2015,1.15 Soja,Parana,5206901,,17147805,3293
maio 2015,1.17 Trigo,Parana,1322503,,3959259,2994
maio 2015,15 Fumo,Parana,78189,,184636,2361
junho 2015,1.4 Arroz,Parana,28144,,164543,5846
junho 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
junho 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
junho 2015,1.10 Feijao (3 Safra),Parana,5238,,6119,1168
junho 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
junho 2015,1.14 Milho (2 Safra),Parana,1914368,,10782264,5632
junho 2015,1.15 Soja,Parana,5207082,,17145020,3293
junho 2015,1.17 Trigo,Parana,1324048,,3959722,2991
junho 2015,15 Fumo,Parana,78189,,184636,2361
julho 2015,1.4 Arroz,Parana,28144,,164543,5846
julho 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
julho 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
julho 2015,1.10 Feijao (3 Safra),Parana,5238,,6119,1168
julho 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
julho 2015,1.14 Milho (2 Safra),Parana,1916933,,11010142,5744
julho 2015,1.15 Soja,Parana,5207082,,17145020,3293
julho 2015,1.17 Trigo,Parana,1320528,,3962696,3001
julho 2015,15 Fumo,Parana,78189,,184636,2361
agosto 2015,1.4 Arroz,Parana,28144,,164543,5846
agosto 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
agosto 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
agosto 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
agosto 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
agosto 2015,1.14 Milho (2 Safra),Parana,1914243,,11179970,5840
agosto 2015,1.15 Soja,Parana,5207082,,17145020,3293
agosto 2015,1.17 Trigo,Parana,1336128,,3962696,2966
agosto 2015,15 Fumo,Parana,78189,,184636,2361
setembro 2015,1.4 Arroz,Parana,28144,,164543,5846
setembro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
setembro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
setembro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
setembro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
setembro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
setembro 2015,1.15 Soja,Parana,5207082,,17145020,3293
setembro 2015,1.17 Trigo,Parana,1335678,,3606878,2700
setembro 2015,15 Fumo,Parana,78189,,184636,2361
outubro 2015,1.4 Arroz,Parana,28144,,164543,5846
outubro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
outubro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
outubro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
outubro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
outubro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
outubro 2015,1.15 Soja,Parana,5207082,,17145020,3293
outubro 2015,1.17 Trigo,Parana,1337637,,3535959,2643
outubro 2015,15 Fumo,Parana,78189,,184636,2361
novembro 2015,1.4 Arroz,Parana,28144,,164543,5846
novembro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
novembro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
novembro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
novembro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
novembro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
novembro 2015,1.15 Soja,Parana,5207082,,17145020,3293
novembro 2015,1.17 Trigo,Parana,1336887,,3427466,2564
novembro 2015,15 Fumo,Parana,78189,,184636,2361
dezembro 2015,1.4 Arroz,Parana,28144,,164543,5846
dezembro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
dezembro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
dezembro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
dezembro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
dezembro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
dezembro 2015,1.15 Soja,Parana,5207082,,17145020,3293
dezembro 2015,1.17 Trigo,Parana,1339889,,3333171,2488
dezembro 2015,15 Fumo,Parana,78189,,184636,2361
janeiro 2016,1.4 Arroz,Parana,26306,,148799,5656
janeiro 2016,1.8 Feijao (1 Safra),Parana,180474,,325814,1805
janeiro 2016,1.9 Feijao (2 Safra),Parana,272197,,401054,1473
janeiro 2016,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
janeiro 2016,1.13 Milho (1 Safra),Parana,429231,,3692023,8601
janeiro 2016,1.14 Milho (2 Safra),Parana,1897198,,10378043,5470
janeiro 2016,1.15 Soja,Parana,5373198,,18297273,3405
janeiro 2016,1.17 Trigo,Parana,1356958,,3869723,2852
janeiro 2016,15 Fumo,Parana,73606,,171000,2323
fevereiro 2016,1.4 Arroz,Parana,26286,,148467,5648
fevereiro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
fevereiro 2016,1.9 Feijao (2 Safra),Parana,210492,,406945,1933
fevereiro 2016,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
fevereiro 2016,1.13 Milho (1 Safra),Parana,423471,,3522269,8318
fevereiro 2016,1.14 Milho (2 Safra),Parana,2063415,,11999966,5816
fevereiro 2016,1.15 Soja,Parana,5375431,,17768012,3305
fevereiro 2016,1.17 Trigo,Parana,1356958,,3869723,2852
fevereiro 2016,15 Fumo,Parana,73706,,157007,2130
marco 2016,1.4 Arroz,Parana,26260,,141857,5402
marco 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
