Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
abril 2023,1.4 Arroz,Parana,21000,,157400,7495
abril 2023,1.8 Feijao (1 Safra),Parana,114965,,197600,1719
abril 2023,1.9 Feijao (2 Safra),Parana,296900,,592100,1994
abril 2023,1.10 Feijao (3 Safra),Parana,900,,1900,2111
abril 2023,1.13 Milho (1 Safra),Parana,385800,,3793000,9832
abril 2023,1.14 Milho (2 Safra),Parana,2465200,,14421000,5850
abril 2023,1.15 Soja,Parana,5815800,,22517400,3872
abril 2023,1.17 Trigo,Parana,1361600,,4484500,3294
abril 2023,15 Fumo,Parana,71966,,171500,2383
maio 2023,1.4 Arroz,Parana,21000,,160300,7633
maio 2023,1.8 Feijao (1 Safra),Parana,115400,,198200,1718
maio 2023,1.9 Feijao (2 Safra),Parana,299100,,553500,1851
maio 2023,1.10 Feijao (3 Safra),Parana,900,,1900,2111
maio 2023,1.13 Milho (1 Safra),Parana,385300,,3827500,9934
maio 2023,1.14 Milho (2 Safra),Parana,2426000,,14127800,5823
maio 2023,1.15 Soja,Parana,5832400,,22479100,3854
maio 2023,1.17 Trigo,Parana,1380800,,4548400,3294
maio 2023,15 Fumo,Parana,71966,,171500,2383
junho 2023,1.4 Arroz,Parana,21000,,160300,7633
junho 2023,1.8 Feijao (1 Safra),Parana,115400,,198200,1718
junho 2023,1.9 Feijao (2 Safra),Parana,299100,,553500,1851
junho 2023,1.10 Feijao (3 Safra),Parana,900,,1900,2111
junho 2023,1.13 Milho (1 Safra),Parana,385300,,3827500,9934
junho 2023,1.14 Milho (2 Safra),Parana,2426000,,14127800,5823
junho 2023,1.15 Soja,Parana,5832400,,22479100,3854
junho 2023,1.17 Trigo,Parana,1380800,,4548400,3294
junho 2023,15 Fumo,Parana,71966,,171500,2383
julho 2023,1.4 Arroz,Parana,21000,,160500,7643
julho 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
julho 2023,1.9 Feijao (2 Safra),Parana,288600,,496000,1719
julho 2023,1.10 Feijao (3 Safra),Parana,800,,1500,1875
julho 2023,1.13 Milho (1 Safra),Parana,384700,,3817800,9924
julho 2023,1.14 Milho (2 Safra),Parana,2415300,,13971700,5785
julho 2023,1.15 Soja,Parana,5834700,,22544500,3864
julho 2023,1.17 Trigo,Parana,1396300,,4577100,3278
julho 2023,15 Fumo,Parana,71966,,171500,2383
agosto 2023,1.4 Arroz,Parana,21200,,162000,7642
agosto 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
agosto 2023,1.9 Feijao (2 Safra),Parana,287700,,464800,1616
agosto 2023,1.10 Feijao (3 Safra),Parana,900,,1600,1778
agosto 2023,1.13 Milho (1 Safra),Parana,379100,,3786800,9989
agosto 2023,1.14 Milho (2 Safra),Parana,2374700,,13981300,5888
agosto 2023,1.15 Soja,Parana,5841400,,22544900,3860
agosto 2023,1.17 Trigo,Parana,1409900,,4493200,3187
agosto 2023,15 Fumo,Parana,71966,,171500,2383
setembro 2023,1.4 Arroz,Parana,20600,,156200,7583
setembro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
setembro 2023,1.9 Feijao (2 Safra),Parana,294900,,478200,1622
setembro 2023,1.10 Feijao (3 Safra),Parana,800,,1400,1750
setembro 2023,1.13 Milho (1 Safra),Parana,379100,,3784700,9983
setembro 2023,1.14 Milho (2 Safra),Parana,2377800,,14072500,5918
setembro 2023,1.15 Soja,Parana,5832500,,22505600,3859
setembro 2023,1.17 Trigo,Parana,1408400,,4155900,2951
setembro 2023,15 Fumo,Parana,71966,,171500,2383
outubro 2023,1.4 Arroz,Parana,20600,,156200,7583
outubro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
outubro 2023,1.9 Feijao (2 Safra),Parana,294700,,478000,1622
outubro 2023,1.10 Feijao (3 Safra),Parana,1200,,1600,1333
outubro 2023,1.13 Milho (1 Safra),Parana,379100,,3783500,9980
outubro 2023,1.14 Milho (2 Safra),Parana,2383600,,14019200,5882
outubro 2023,1.15 Soja,Parana,5831500,,22485000,3856
outubro 2023,1.17 Trigo,Parana,1412900,,3855200,2729
outubro 2023,15 Fumo,Parana,71966,,171500,2383
novembro 2023,1.4 Arroz,Parana,20600,,155200,7534
novembro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
novembro 2023,1.9 Feijao (2 Safra),Parana,294700,,480500,1630
novembro 2023,1.10 Feijao (3 Safra),Parana,1200,,1600,1333
novembro 2023,1.13 Milho (1 Safra),Parana,379100,,3783500,9980
novembro 2023,1.14 Milho (2 Safra),Parana,2382200,,14013300,5883
novembro 2023,1.15 Soja,Parana,5831500,,22511700,3860
novembro 2023,1.17 Trigo,Parana,1411700,,3652800,2588
novembro 2023,15 Fumo,Parana,71966,,172000,2390
dezembro 2023,1.4 Arroz,Parana,20600,,156200,7583
dezembro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
dezembro 2023,1.9 Feijao (2 Safra),Parana,294700,,480500,1630
dezembro 2023,1.10 Feijao (3 Safra),Parana,1200,,1600,1333
dezembro 2023,1.13 Milho (1 Safra),Parana,379100,,3782300,9977
dezembro 2023,1.14 Milho (2 Safra),Parana,2379700,,14176500,5957
dezembro 2023,1.15 Soja,Parana,5834000,,22455000,3849
dezembro 2023,1.17 Trigo,Parana,1407800,,3600900,2558
dezembro 2023,15 Fumo,Parana,71966,,172000,2390
janeiro 2024,1.4 Arroz,Parana,19500,,117500,6026
janeiro 2024,1.8 Feijao (1 Safra),Parana,112600,,156400,1389
janeiro 2024,1.9 Feijao (2 Safra),Parana,304800,,607900,1994
janeiro 2024,1.10 Feijao (3 Safra),Parana,1200,,1800,1500
janeiro 2024,1.13 Milho (1 Safra),Parana,291500,,2611900,8960
janeiro 2024,1.14 Milho (2 Safra),Parana,2402500,,14558700,6060
janeiro 2024,1.15 Soja,Parana,5822300,,19369400,3327
janeiro 2024,1.17 Trigo,Parana,1410000,,4230000,3000
janeiro 2024,15 Fumo,Parana,74500,,144100,1934
fevereiro 2024,1.4 Arroz,Parana,19500,,125700,6446
fevereiro 2024,1.8 Feijao (1 Safra),Parana,113000,,167200,1480
fevereiro 2024,1.9 Feijao (2 Safra),Parana,347700,,691000,1987
fevereiro 2024,1.10 Feijao (3 Safra),Parana,1600,,2200,1375
fevereiro 2024,1.13 Milho (1 Safra),Parana,296500,,2591500,8740
fevereiro 2024,1.14 Milho (2 Safra),Parana,2414500,,14630600,6059
fevereiro 2024,1.15 Soja,Parana,5813300,,18357900,3158
fevereiro 2024,1.17 Trigo,Parana,1407800,,3601300,2558
fevereiro 2024,15 Fumo,Parana,74300,,143800,1935
marco 2024,1.4 Arroz,Parana,20000,,125500,6275
marco 2024,1.8 Feijao (1 Safra),Parana,113100,,168700,1492
marco 2024,1.9 Feijao (2 Safra),Parana,391400,,777200,1986
marco 2024,1.10 Feijao (3 Safra),Parana,700,,700,1000
marco 2024,1.13 Milho (1 Safra),Parana,296700,,2548600,8590
marco 2024,1.14 Milho (2 Safra),Parana,2426600,,14221900,5861
marco 2024,1.15 Soja,Parana,5815700,,18449100,3172
marco 2024,1.17 Trigo,Parana,1174900,,3913600,3331
marco 2024,15 Fumo,Parana,74600,,144400,1936
abril 2024,1.4 Arroz,Parana,19000,,126600,6663
abril 2024,1.8 Feijao (1 Safra),Parana,113800,,171600,1508
abril 2024,1.9 Feijao (2 Safra),Parana,402200,,774000,1924
abril 2024,1.10 Feijao (3 Safra),Parana,700,,1000,1429
abril 2024,1.13 Milho (1 Safra),Parana,296300,,2526600,8527
abril 2024,1.14 Milho (2 Safra),Parana,2415900,,13531900,5601
abril 2024,1.15 Soja,Parana,5814700,,18474800,3177
abril 2024,1.17 Trigo,Parana,1139200,,3795000,3331
abril 2024,15 Fumo,Parana,74600,,145000,1944
maio 2024,1.4 Arroz,Parana,19500,,129200,6626
maio 2024,1.8 Feijao (1 Safra),Parana,113800,,170300,1496
maio 2024,1.9 Feijao (2 Safra),Parana,402900,,646300,1604
maio 2024,1.10 Feijao (3 Safra),Parana,700,,1000,1429
maio 2024,1.13 Milho (1 Safra),Parana,296400,,2552800,8613
maio 2024,1.14 Milho (2 Safra),Parana,2419400,,13226800,5467
maio 2024,1.15 Soja,Parana,5819100,,18512700,3181
maio 2024,1.17 Trigo,Parana,1117500,,3713200,3323
maio 2024,15 Fumo,Parana,74600,,148300,1988
junho 2024,1.4 Arroz,Parana,18200,,119300,6555
junho 2024,1.8 Feijao (1 Safra),Parana,114800,,172300,1501
junho 2024,1.9 Feijao (2 Safra),Parana,413100,,661800,1602
junho 2024,1.10 Feijao (3 Safra),Parana,1000,,1200,1200
junho 2024,1.13 Milho (1 Safra),Parana,297200,,2555600,8599
junho 2024,1.14 Milho (2 Safra),Parana,2421700,,12950200,5348
junho 2024,1.15 Soja,Parana,5819700,,18570200,3191
junho 2024,1.17 Trigo,Parana,1153400,,3810300,3304
junho 2024,15 Fumo,Parana,74600,,148400,1989
julho 2024,1.4 Arroz,Parana,19500,,120600,6185
julho 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
julho 2024,1.9 Feijao (2 Safra),Parana,417900,,659200,1577
julho 2024,1.10 Feijao (3 Safra),Parana,1000,,1200,1200
julho 2024,1.13 Milho (1 Safra),Parana,296000,,2543000,8591
julho 2024,1.14 Milho (2 Safra),Parana,2512100,,12963700,5161
julho 2024,1.15 Soja,Parana,5824800,,18657300,3203
julho 2024,1.17 Trigo,Parana,1155700,,3613300,3127
julho 2024,15 Fumo,Parana,74600,,148400,1989
agosto 2024,1.4 Arroz,Parana,19500,,120600,6185
agosto 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
agosto 2024,1.9 Feijao (2 Safra),Parana,418000,,659300,1577
agosto 2024,1.10 Feijao (3 Safra),Parana,1000,,1200,1200
agosto 2024,1.13 Milho (1 Safra),Parana,296000,,2543100,8592
agosto 2024,1.14 Milho (2 Safra),Parana,2534600,,12603100,4972
agosto 2024,1.15 Soja,Parana,5835400,,18687700,3202
agosto 2024,1.17 Trigo,Parana,1155100,,3142800,2721
agosto 2024,15 Fumo,Parana,74600,,148400,1989
setembro 2024,1.4 Arroz,Parana,19500,,121700,6241
setembro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
setembro 2024,1.9 Feijao (2 Safra),Parana,430500,,669500,1555
setembro 2024,1.10 Feijao (3 Safra),Parana,800,,800,1000
setembro 2024,1.13 Milho (1 Safra),Parana,294400,,2524500,8575
setembro 2024,1.14 Milho (2 Safra),Parana,2534100,,12517200,4940
setembro 2024,1.15 Soja,Parana,5835100,,18639100,3194
setembro 2024,1.17 Trigo,Parana,1149600,,2580700,2245
setembro 2024,15 Fumo,Parana,74600,,148400,1989
outubro 2024,1.4 Arroz,Parana,19500,,121700,6241
outubro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
outubro 2024,1.9 Feijao (2 Safra),Parana,430500,,669000,1554
outubro 2024,1.10 Feijao (3 Safra),Parana,700,,700,1000
outubro 2024,1.13 Milho (1 Safra),Parana,294400,,2524800,8576
outubro 2024,1.14 Milho (2 Safra),Parana,2533800,,12515300,4939
outubro 2024,1.15 Soja,Parana,5835100,,18639000,3194
outubro 2024,1.17 Trigo,Parana,1146800,,2352800,2052
outubro 2024,15 Fumo,Parana,74600,,148400,1989
novembro 2024,1.4 Arroz,Parana,19500,,130200,6677
novembro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
novembro 2024,1.9 Feijao (2 Safra),Parana,430000,,668800,1555
novembro 2024,1.10 Feijao (3 Safra),Parana,900,,700,778
novembro 2024,1.13 Milho (1 Safra),Parana,294400,,2525000,8577
novembro 2024,1.14 Milho (2 Safra),Parana,2533400,,12556400,4956
novembro 2024,1.15 Soja,Parana,5835000,,18643100,3195
novembro 2024,1.17 Trigo,Parana,1147400,,2305300,2009
novembro 2024,15 Fumo,Parana,74600,,148400,1989
dezembro 2024,1.4 Arroz,Parana,19500,,130200,6677
dezembro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
dezembro 2024,1.9 Feijao (2 Safra),Parana,430000,,665200,1547
dezembro 2024,1.10 Feijao (3 Safra),Parana,900,,700,778
dezembro 2024,1.13 Milho (1 Safra),Parana,294400,,2525000,8577
dezembro 2024,1.14 Milho (2 Safra),Parana,2533400,,12556400,4956
dezembro 2024,1.15 Soja,Parana,5835000,,18643000,3195
dezembro 2024,1.17 Trigo,Parana,1146200,,2363300,2062
dezembro 2024,15 Fumo,Parana,72900,,148400,2036
janeiro 2014,1.4 Arroz,Santa Catarina,149712,149712,1105945,7387
janeiro 2014,1.8 Feijao (1 Safra),Santa Catarina,62450,62500,124900,2000
janeiro 2014,1.9 Feijao (2 Safra),Santa Catarina,24246,24246,29774,1228
janeiro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
janeiro 2014,1.13 Milho (1 Safra),Santa Catarina,455647,455647,3225957,7080
janeiro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
janeiro 2014,1.15 Soja,Santa Catarina,557760,557760,1766568,3167
janeiro 2014,1.17 Trigo,Santa Catarina,72600,72600,197883,2726
janeiro 2014,15 Fumo,Santa Catarina,122519,122619,268628,2193
fevereiro 2014,1.4 Arroz,Santa Catarina,149712,149712,1105945,7387
fevereiro 2014,1.8 Feijao (1 Safra),Santa Catarina,62450,62500,124900,2000
fevereiro 2014,1.9 Feijao (2 Safra),Santa Catarina,24206,24246,34528,1426
fevereiro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
fevereiro 2014,1.13 Milho (1 Safra),Santa Catarina,455647,455647,3225957,7080
fevereiro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
fevereiro 2014,1.15 Soja,Santa Catarina,557760,557760,1766568,3167
fevereiro 2014,1.17 Trigo,Santa Catarina,76644,77244,238256,3109
fevereiro 2014,15 Fumo,Santa Catarina,122519,122519,268628,2193
marco 2014,1.4 Arroz,Santa Catarina,149712,149712,1105945,7387
marco 2014,1.8 Feijao (1 Safra),Santa Catarina,62450,62500,124900,2000
marco 2014,1.9 Feijao (2 Safra),Santa Catarina,24206,24246,34528,1426
marco 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
marco 2014,1.13 Milho (1 Safra),Santa Catarina,455647,455647,3225957,7080
marco 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
marco 2014,1.15 Soja,Santa Catarina,557760,557760,1766568,3167
marco 2014,1.17 Trigo,Santa Catarina,76644,77244,238256,3109
marco 2014,15 Fumo,Santa Catarina,122519,122519,268628,2193
abril 2014,1.4 Arroz,Santa Catarina,149454,149461,1107086,7408
abril 2014,1.8 Feijao (1 Safra),Santa Catarina,62662,62752,112792,1800
abril 2014,1.9 Feijao (2 Safra),Santa Catarina,23500,23500,32900,1400
abril 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
abril 2014,1.13 Milho (1 Safra),Santa Catarina,441171,446376,3132314,7100
abril 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
abril 2014,1.15 Soja,Santa Catarina,558444,558444,1647410,2950
abril 2014,1.17 Trigo,Santa Catarina,76644,77244,244256,3187
abril 2014,15 Fumo,Santa Catarina,120691,120795,258369,2141
maio 2014,1.4 Arroz,Santa Catarina,149454,149461,1107086,7408
maio 2014,1.8 Feijao (1 Safra),Santa Catarina,62662,62752,112792,1800
maio 2014,1.9 Feijao (2 Safra),Santa Catarina,23500,23500,32900,1400
maio 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
maio 2014,1.13 Milho (1 Safra),Santa Catarina,441171,446376,3132314,7100
maio 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
maio 2014,1.15 Soja,Santa Catarina,558444,558444,1647410,2950
maio 2014,1.17 Trigo,Santa Catarina,76644,77244,244256,3187
maio 2014,15 Fumo,Santa Catarina,120691,120795,258369,2141
junho 2014,1.4 Arroz,Santa Catarina,149831,149838,1088412,7264
junho 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
junho 2014,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,36001,1500
junho 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
junho 2014,1.13 Milho (1 Safra),Santa Catarina,437423,443633,3193188,7300
junho 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
junho 2014,1.15 Soja,Santa Catarina,559428,559428,1658000,2964
junho 2014,1.17 Trigo,Santa Catarina,90018,90018,287752,3197
junho 2014,15 Fumo,Santa Catarina,120545,120649,258249,2142
julho 2014,1.4 Arroz,Santa Catarina,149831,149838,1088412,7264
julho 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
julho 2014,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,36001,1500
julho 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
julho 2014,1.13 Milho (1 Safra),Santa Catarina,437423,443633,3193188,7300
julho 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
julho 2014,1.15 Soja,Santa Catarina,559428,559428,1658000,2964
julho 2014,1.17 Trigo,Santa Catarina,90018,90018,287752,3197
julho 2014,15 Fumo,Santa Catarina,120545,120649,258249,2142
agosto 2014,1.4 Arroz,Santa Catarina,149831,149838,1088412,7264
agosto 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
agosto 2014,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,36001,1500
agosto 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
agosto 2014,1.13 Milho (1 Safra),Santa Catarina,437423,443633,3193188,7300
agosto 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
agosto 2014,1.15 Soja,Santa Catarina,559428,559428,1658000,2964
agosto 2014,1.17 Trigo,Santa Catarina,90018,90018,287752,3197
agosto 2014,15 Fumo,Santa Catarina,120545,120649,258249,2142
setembro 2014,1.4 Arroz,Santa Catarina,149877,149877,1082450,7222
setembro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
setembro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
setembro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
setembro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
setembro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
setembro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
setembro 2014,1.17 Trigo,Santa Catarina,93999,93999,302018,3213
setembro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
outubro 2014,1.4 Arroz,Santa Catarina,149877,149877,1082450,7222
outubro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
outubro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
outubro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
outubro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
outubro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
outubro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
outubro 2014,1.17 Trigo,Santa Catarina,93999,93999,302018,3213
outubro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
novembro 2014,1.4 Arroz,Santa Catarina,149877,149877,1082450,7222
novembro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
novembro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
novembro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
novembro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
novembro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
novembro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
novembro 2014,1.17 Trigo,Santa Catarina,93999,93999,302018,3213
novembro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
dezembro 2014,1.4 Arroz,Santa Catarina,149869,149869,1082441,7223
dezembro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
dezembro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
dezembro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
dezembro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
dezembro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
dezembro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
dezembro 2014,1.17 Trigo,Santa Catarina,96000,96000,273600,2850
dezembro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
janeiro 2015,1.4 Arroz,Santa Catarina,149254,149254,1113629,7461
janeiro 2015,1.8 Feijao (1 Safra),Santa Catarina,53198,53198,106396,2000
janeiro 2015,1.9 Feijao (2 Safra),Santa Catarina,26112,26112,38366,1469
janeiro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
janeiro 2015,1.13 Milho (1 Safra),Santa Catarina,420000,420000,3186120,7586
janeiro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
janeiro 2015,1.15 Soja,Santa Catarina,602846,602846,1963399,3257
janeiro 2015,1.17 Trigo,Santa Catarina,85000,85000,238000,2800
janeiro 2015,15 Fumo,Santa Catarina,116015,116015,260088,2242
fevereiro 2015,1.4 Arroz,Santa Catarina,149254,149254,1113629,7461
fevereiro 2015,1.8 Feijao (1 Safra),Santa Catarina,53198,53198,106396,2000
fevereiro 2015,1.9 Feijao (2 Safra),Santa Catarina,26112,26112,38366,1469
fevereiro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
fevereiro 2015,1.13 Milho (1 Safra),Santa Catarina,420000,420000,3186120,7586
fevereiro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
fevereiro 2015,1.15 Soja,Santa Catarina,602846,602846,1963399,3257
fevereiro 2015,1.17 Trigo,Santa Catarina,85000,85000,238000,2800
fevereiro 2015,15 Fumo,Santa Catarina,116015,116015,260088,2242
marco 2015,1.4 Arroz,Santa Catarina,148744,148744,1084066,7288
marco 2015,1.8 Feijao (1 Safra),Santa Catarina,51856,51878,100943,1947
marco 2015,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,40800,1700
marco 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
marco 2015,1.13 Milho (1 Safra),Santa Catarina,410000,410000,3127480,7628
marco 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
marco 2015,1.15 Soja,Santa Catarina,608683,608691,2011003,3304
marco 2015,1.17 Trigo,Santa Catarina,94974,94974,261308,2751
marco 2015,15 Fumo,Santa Catarina,116559,116599,256323,2199
abril 2015,1.4 Arroz,Santa Catarina,148744,148744,1084066,7288
abril 2015,1.8 Feijao (1 Safra),Santa Catarina,51856,51878,100943,1947
abril 2015,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,40800,1700
abril 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
abril 2015,1.13 Milho (1 Safra),Santa Catarina,410000,410000,3127480,7628
abril 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
abril 2015,1.15 Soja,Santa Catarina,608683,608691,2011003,3304
abril 2015,1.17 Trigo,Santa Catarina,94974,94974,261308,2751
abril 2015,15 Fumo,Santa Catarina,116559,116599,256323,2199
maio 2015,1.4 Arroz,Santa Catarina,148744,148744,1084066,7288
maio 2015,1.8 Feijao (1 Safra),Santa Catarina,51856,51878,100943,1947
maio 2015,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,40800,1700
maio 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
maio 2015,1.13 Milho (1 Safra),Santa Catarina,410000,410000,3127480,7628
maio 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
maio 2015,1.15 Soja,Santa Catarina,608683,608691,2011003,3304
maio 2015,1.17 Trigo,Santa Catarina,94974,94974,261308,2751
maio 2015,15 Fumo,Santa Catarina,116559,116599,256323,2199
junho 2015,1.4 Arroz,Santa Catarina,148705,148706,1081537,7273
junho 2015,1.8 Feijao (1 Safra),Santa Catarina,51286,51308,97057,1892
junho 2015,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,39600,1650
junho 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
junho 2015,1.13 Milho (1 Safra),Santa Catarina,410000,410000,3157000,7700
junho 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
junho 2015,1.15 Soja,Santa Catarina,600000,600000,1967400,3279
junho 2015,1.17 Trigo,Santa Catarina,78156,78156,229224,2933
junho 2015,15 Fumo,Santa Catarina,116302,116392,255961,2201
julho 2015,1.4 Arroz,Santa Catarina,148705,148706,1081537,7273
julho 2015,1.8 Feijao (1 Safra),Santa Catarina,51286,51308,97057,1892
julho 2015,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,39600,1650
julho 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
julho 2015,1.13 Milho (1 Safra),Santa Catarina,410000,410000,3157000,7700
julho 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
julho 2015,1.15 Soja,Santa Catarina,600000,600000,1967400,3279
julho 2015,1.17 Trigo,Santa Catarina,78156,78156,229224,2933
julho 2015,15 Fumo,Santa Catarina,116302,116392,255961,2201
agosto 2015,1.4 Arroz,Santa Catarina,148705,148706,1081537,7273
agosto 2015,1.8 Feijao (1 Safra),Santa Catarina,51286,51308,97057,1892
agosto 2015,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,39600,1650
agosto 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
agosto 2015,1.13 Milho (1 Safra),Santa Catarina,410000,410000,3157000,7700
agosto 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
agosto 2015,1.15 Soja,Santa Catarina,600000,600000,1967400,3279
agosto 2015,1.17 Trigo,Santa Catarina,78156,78156,229224,2933
agosto 2015,15 Fumo,Santa Catarina,116302,116392,255961,2201
setembro 2015,1.4 Arroz,Santa Catarina,148705,148706,1081537,7273
setembro 2015,1.8 Feijao (1 Safra),Santa Catarina,51286,51308,97057,1892
setembro 2015,1.9 Feijao (2 Safra),Santa Catarina,25403,25743,42011,1654
setembro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
setembro 2015,1.13 Milho (1 Safra),Santa Catarina,404487,404487,3076480,7606
setembro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
setembro 2015,1.15 Soja,Santa Catarina,600000,600000,1967400,3279
setembro 2015,1.17 Trigo,Santa Catarina,78136,78136,230554,2951
setembro 2015,15 Fumo,Santa Catarina,116298,116388,255952,2201
outubro 2015,1.4 Arroz,Santa Catarina,148705,148706,1081537,7273
outubro 2015,1.8 Feijao (1 Safra),Santa Catarina,51286,51308,97057,1892
outubro 2015,1.9 Feijao (2 Safra),Santa Catarina,25403,25743,42011,1654
outubro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
outubro 2015,1.13 Milho (1 Safra),Santa Catarina,404487,404487,3076480,7606
outubro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
outubro 2015,1.15 Soja,Santa Catarina,600000,600000,1967400,3279
outubro 2015,1.17 Trigo,Santa Catarina,78136,78136,230554,2951
outubro 2015,15 Fumo,Santa Catarina,116298,116388,255952,2201
novembro 2015,1.4 Arroz,Santa Catarina,148705,148706,1081537,7273
novembro 2015,1.8 Feijao (1 Safra),Santa Catarina,51286,51308,97057,1892
novembro 2015,1.9 Feijao (2 Safra),Santa Catarina,25403,25743,42011,1654
novembro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
novembro 2015,1.13 Milho (1 Safra),Santa Catarina,404487,404487,3076480,7606
novembro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
novembro 2015,1.15 Soja,Santa Catarina,600000,600000,1967400,3279
