Data,Estado,Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
042020,2,15.3,51.6,811.5,1.7
082020,2,12.4,83.0,768.0,1.9
122020,2,19.2,168.5,803.7,1.7
022020,2,18.3,109.5,761.3,1.7
012020,2,20.0,145.7,802.7,1.8
072020,2,11.1,114.7,767.0,2.0
062020,2,12.6,132.4,766.5,2.0
052020,2,11.6,52.4,722.3,1.7
032020,2,18.4,42.0,810.6,2.1
112020,2,15.6,109.6,760.2,1.5
102020,2,16.5,56.4,808.4,2.0
092020,2,15.2,74.7,810.1,2.0
042021,2,14.6,28.7,762.8,1.7
082021,2,12.9,25.9,760.0,1.9
122021,2,18.2,41.3,709.2,1.4
022021,2,19.0,75.2,804.6,1.5
012021,2,19.4,212.8,804.6,1.7
072021,2,8.6,24.9,667.8,1.2
062021,2,9.9,129.7,714.8,1.2
052021,2,11.1,76.2,758.0,1.3
032021,2,19.1,114.2,849.1,1.6
112021,2,16.0,78.7,709.6,1.3
102021,2,14.6,147.8,802.7,1.7
092021,2,12.3,98.8,664.7,1.4
042022,2,13.5,81.3,714.8,1.4
082022,2,9.3,110.3,633.0,2.1
122022,2,20.0,223.6,894.3,2.0
022022,2,18.0,65.3,758.0,1.5
012022,2,19.3,108.8,800.6,1.5
072022,2,10.6,21.8,628.7,1.9
062022,2,8.0,87.5,588.8,1.6
052022,2,9.1,117.8,667.1,1.4
032022,2,15.5,159.6,713.6,1.5
112022,2,17.1,83.3,897.6,2.5
102022,2,12.2,125.5,669.2,1.8
092022,2,8.7,55.4,534.8,1.2
042023,2,16.3,105.0,854.0,1.7
082023,2,15.0,94.1,899.0,2.4
122023,2,21.2,116.7,850.2,2.3
022023,2,20.2,176.7,895.2,1.7
012023,2,21.8,180.1,895.1,1.8
072023,2,14.5,144.9,902.1,2.2
062023,2,13.3,111.6,857.6,2.1
052023,2,15.7,75.6,810.4,1.8
032023,2,20.6,174.5,896.9,1.8
112023,2,19.2,253.5,670.9,2.4
102023,2,13.6,358.0,716.2,2.3
092023,2,17.5,180.6,897.4,2.9
042024,2,15.4,156.6,755.7,1.7
082024,2,13.5,45.0,855.8,2.3
122024,2,15.2,101.6,672.2,1.3
022024,2,19.5,116.8,851.5,1.7
012024,2,18.4,224.3,850.4,2.2
072024,2,12.2,150.2,770.0,1.7
062024,2,12.2,108.9,716.3,2.0
052024,2,12.6,204.9,715.3,1.7
032024,2,17.5,129.4,803.3,1.7
112024,2,16.3,108.0,664.2,1.3
102024,2,16.3,112.8,713.3,1.7
092024,2,15.8,78.0,761.8,1.8
