Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
janeiro 2022,20.8,B806,Parana,210,"907,9","1,2",
fevereiro 2022,21.1,B806,Parana,,"908,5","1,3",
marco 2022,,B806,Parana,,"909,1","1,3",
abril 2022,16.6,B806,Parana,,"910,5","1,2",
maio 2022,,B806,Parana,,"911,1","1,4",
junho 2022,12.4,B806,Parana,,"911,7","1,3",
julho 2022,14.7,B806,Parana,,"912,3","1,5",
agosto 2022,13.3,B806,Parana,"172,2","912,9","1,5",
setembro 2022,12.8,B806,Parana,"208,4","911,5","1,5",
outubro 2022,,B806,Parana,,,,
novembro 2022,15.9,B806,Parana,,"909,8","1,3",
dezembro 2022,19.4,B806,Parana,"95,8","907,2","1,3",
janeiro 2023,20.2,B806,Parana,"94,8","908,2","1,2",
fevereiro 2023,20.3,B806,Parana,,"908,5","1,4",
marco 2023,20.6,B806,Parana,140,"910,2","1,3",
abril 2023,17.1,B806,Parana,"79,6","910,3","1,2",
maio 2023,15.8,B806,Parana,"26,2","912,6","1,1",
junho 2023,13.6,B806,Parana,74,"913,5","1,2",
julho 2023,13.7,B806,Parana,"90,6","913,5","1,4",
agosto 2023,14.8,B806,Parana,"178,2","911,4","1,4",
setembro 2023,18.3,B806,Parana,"106,6","910,1","1,6",
outubro 2023,17.2,B806,Parana,"494,6","908,4","1,5",
novembro 2023,19.5,B806,Parana,"273,6",908,"1,5",
dezembro 2023,21.3,B806,Parana,"37,8","908,7","1,4",
janeiro 2024,20.8,B806,Parana,"103,8","908,5","1,3",
fevereiro 2024,21.5,B806,Parana,"81,8",910,"1,2",
marco 2024,20.9,B806,Parana,"67,2",910,"1,2",
abril 2024,19.8,B806,Parana,"141,2","910,5","1,2",
maio 2024,17.5,B806,Parana,"85,2","910,9","1,5",
junho 2024,16.0,B806,Parana,"69,2","912,3","1,3",
julho 2024,13.1,B806,Parana,"132,4","914,8",1,
agosto 2024,15.6,B806,Parana,"44,6","912,9","1,4",
setembro 2024,18.3,B806,Parana,119,"910,9","1,4",
outubro 2024,17.8,B806,Parana,"151,4",910,"1,5",
novembro 2024,19.1,B806,Parana,"112,2","908,5","1,4",
dezembro 2024,19.3,B806,Parana,"272,4","907,3","1,6",
