Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
88,outubro 2014,1.17 Trigo,Parana,1356958,,3869723,2852
89,outubro 2014,15 Fumo,Parana,76137,,171673,2255
90,novembro 2014,1.4 Arroz,Parana,30152,,153981,5107
91,novembro 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
92,novembro 2014,1.9 Feijao (2 Safra),Parana,275137,,403682,1467
93,novembro 2014,1.10 Feijao (3 Safra),Parana,4917,,4982,1013
94,novembro 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
95,novembro 2014,1.14 Milho (2 Safra),Parana,1900492,,10350777,5446
96,novembro 2014,1.15 Soja,Parana,5018523,,14806462,2950
97,novembro 2014,1.17 Trigo,Parana,1359858,,3779374,2779
98,novembro 2014,15 Fumo,Parana,76137,,171673,2255
99,dezembro 2014,1.4 Arroz,Parana,30152,,153981,5107
100,dezembro 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
101,dezembro 2014,1.9 Feijao (2 Safra),Parana,275137,,403682,1467
102,dezembro 2014,1.10 Feijao (3 Safra),Parana,4917,,4982,1013
103,dezembro 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
104,dezembro 2014,1.14 Milho (2 Safra),Parana,1900492,,10350777,5446
105,dezembro 2014,1.15 Soja,Parana,5018523,,14806462,2950
106,dezembro 2014,1.17 Trigo,Parana,1360859,,3720582,2734
107,dezembro 2014,15 Fumo,Parana,76137,,171673,2255
108,janeiro 2015,1.4 Arroz,Parana,28200,,161614,5731
109,janeiro 2015,1.8 Feijao (1 Safra),Parana,193262,,332035,1718
110,janeiro 2015,1.9 Feijao (2 Safra),Parana,223545,,421154,1884
111,janeiro 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
112,janeiro 2015,1.13 Milho (1 Safra),Parana,536664,,4588963,8551
113,janeiro 2015,1.14 Milho (2 Safra),Parana,1868955,,9919722,5308
114,janeiro 2015,1.15 Soja,Parana,5180054,,16855853,3254
115,janeiro 2015,1.17 Trigo,Parana,1356958,,3869723,2852
116,janeiro 2015,15 Fumo,Parana,78289,,182827,2335
117,fevereiro 2015,1.4 Arroz,Parana,28320,,161883,5716
118,fevereiro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
119,fevereiro 2015,1.9 Feijao (2 Safra),Parana,228545,,453719,1985
120,fevereiro 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
121,fevereiro 2015,1.13 Milho (1 Safra),Parana,542064,,4635660,8552
122,fevereiro 2015,1.14 Milho (2 Safra),Parana,1865155,,9953471,5337
123,fevereiro 2015,1.15 Soja,Parana,5182569,,16981846,3277
124,fevereiro 2015,1.17 Trigo,Parana,1356958,,3869723,2852
125,fevereiro 2015,15 Fumo,Parana,78289,,185067,2364
126,marco 2015,1.4 Arroz,Parana,28438,,163885,5763
127,marco 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
128,marco 2015,1.9 Feijao (2 Safra),Parana,218982,,430544,1966
129,marco 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
130,marco 2015,1.13 Milho (1 Safra),Parana,542483,,4668223,8605
131,marco 2015,1.14 Milho (2 Safra),Parana,1867226,,9981747,5346
132,marco 2015,1.15 Soja,Parana,5203665,,16998875,3267
133,marco 2015,1.17 Trigo,Parana,1350070,,4045343,2996
134,marco 2015,15 Fumo,Parana,78189,,184636,2361
135,abril 2015,1.4 Arroz,Parana,28438,,163885,5763
136,abril 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
137,abril 2015,1.9 Feijao (2 Safra),Parana,218982,,430544,1966
138,abril 2015,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
139,abril 2015,1.13 Milho (1 Safra),Parana,542919,,4671246,8604
140,abril 2015,1.14 Milho (2 Safra),Parana,1892143,,10047801,5310
141,abril 2015,1.15 Soja,Parana,5206901,,17147805,3293
142,abril 2015,1.17 Trigo,Parana,1356320,,4070420,3001
143,abril 2015,15 Fumo,Parana,78189,,184636,2361
144,maio 2015,1.4 Arroz,Parana,28144,,164543,5846
145,maio 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
146,maio 2015,1.9 Feijao (2 Safra),Parana,213785,,400738,1874
147,maio 2015,1.10 Feijao (3 Safra),Parana,5238,,6119,1168
148,maio 2015,1.13 Milho (1 Safra),Parana,542419,,4679671,8627
149,maio 2015,1.14 Milho (2 Safra),Parana,1893493,,10390011,5487
150,maio 2015,1.15 Soja,Parana,5206901,,17147805,3293
151,maio 2015,1.17 Trigo,Parana,1322503,,3959259,2994
152,maio 2015,15 Fumo,Parana,78189,,184636,2361
153,junho 2015,1.4 Arroz,Parana,28144,,164543,5846
154,junho 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
155,junho 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
156,junho 2015,1.10 Feijao (3 Safra),Parana,5238,,6119,1168
157,junho 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
158,junho 2015,1.14 Milho (2 Safra),Parana,1914368,,10782264,5632
159,junho 2015,1.15 Soja,Parana,5207082,,17145020,3293
160,junho 2015,1.17 Trigo,Parana,1324048,,3959722,2991
161,junho 2015,15 Fumo,Parana,78189,,184636,2361
162,julho 2015,1.4 Arroz,Parana,28144,,164543,5846
163,julho 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
164,julho 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
165,julho 2015,1.10 Feijao (3 Safra),Parana,5238,,6119,1168
166,julho 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
167,julho 2015,1.14 Milho (2 Safra),Parana,1916933,,11010142,5744
168,julho 2015,1.15 Soja,Parana,5207082,,17145020,3293
169,julho 2015,1.17 Trigo,Parana,1320528,,3962696,3001
170,julho 2015,15 Fumo,Parana,78189,,184636,2361
171,agosto 2015,1.4 Arroz,Parana,28144,,164543,5846
172,agosto 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
173,agosto 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
174,agosto 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
175,agosto 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
176,agosto 2015,1.14 Milho (2 Safra),Parana,1914243,,11179970,5840
177,agosto 2015,1.15 Soja,Parana,5207082,,17145020,3293
178,agosto 2015,1.17 Trigo,Parana,1336128,,3962696,2966
179,agosto 2015,15 Fumo,Parana,78189,,184636,2361
180,setembro 2015,1.4 Arroz,Parana,28144,,164543,5846
181,setembro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
182,setembro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
183,setembro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
184,setembro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
185,setembro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
186,setembro 2015,1.15 Soja,Parana,5207082,,17145020,3293
