Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
945,outubro 2022,1.4 Arroz,Parana,21505,,140900,6552
946,outubro 2022,1.8 Feijao (1 Safra),Parana,139300,,195600,1404
947,outubro 2022,1.9 Feijao (2 Safra),Parana,338302,,560385,1656
948,outubro 2022,1.10 Feijao (3 Safra),Parana,600,,800,1333
949,outubro 2022,1.13 Milho (1 Safra),Parana,432100,,2963800,6859
950,outubro 2022,1.14 Milho (2 Safra),Parana,2720300,,13294700,4887
951,outubro 2022,1.15 Soja,Parana,5720696,,12185395,2130
952,outubro 2022,1.17 Trigo,Parana,1191800,,3567100,2993
953,outubro 2022,15 Fumo,Parana,69800,,155200,2223
954,novembro 2022,1.4 Arroz,Parana,21505,,140900,6552
955,novembro 2022,1.8 Feijao (1 Safra),Parana,139300,,195600,1404
956,novembro 2022,1.9 Feijao (2 Safra),Parana,338302,,560385,1656
957,novembro 2022,1.10 Feijao (3 Safra),Parana,600,,800,1333
958,novembro 2022,1.13 Milho (1 Safra),Parana,432100,,2963800,6859
959,novembro 2022,1.14 Milho (2 Safra),Parana,2720300,,13294700,4887
960,novembro 2022,1.15 Soja,Parana,5720696,,12185395,2130
961,novembro 2022,1.17 Trigo,Parana,1198990,,3386749,2825
962,novembro 2022,15 Fumo,Parana,69800,,155200,2223
963,dezembro 2022,1.4 Arroz,Parana,21505,,140900,6552
964,dezembro 2022,1.8 Feijao (1 Safra),Parana,139300,,195600,1404
965,dezembro 2022,1.9 Feijao (2 Safra),Parana,338302,,560385,1656
966,dezembro 2022,1.10 Feijao (3 Safra),Parana,600,,800,1333
967,dezembro 2022,1.13 Milho (1 Safra),Parana,432100,,2963800,6859
968,dezembro 2022,1.14 Milho (2 Safra),Parana,2720300,,13294700,4887
969,dezembro 2022,1.15 Soja,Parana,5720696,,12185395,2130
970,dezembro 2022,1.17 Trigo,Parana,1198990,,3386749,2825
971,dezembro 2022,15 Fumo,Parana,69800,,155200,2223
972,janeiro 2023,1.4 Arroz,Parana,20900,,156100,7469
973,janeiro 2023,1.8 Feijao (1 Safra),Parana,115900,,195800,1689
974,janeiro 2023,1.9 Feijao (2 Safra),Parana,302700,,599300,1980
975,janeiro 2023,1.10 Feijao (3 Safra),Parana,600,,900,1500
976,janeiro 2023,1.13 Milho (1 Safra),Parana,386700,,3692500,9549
977,janeiro 2023,1.14 Milho (2 Safra),Parana,2635500,,15372600,5833
978,janeiro 2023,1.15 Soja,Parana,5788000,,20859100,3604
979,janeiro 2023,1.17 Trigo,Parana,1194000,,3377500,2829
980,janeiro 2023,15 Fumo,Parana,72579,,169985,2342
981,fevereiro 2023,1.4 Arroz,Parana,20900,,156100,7469
982,fevereiro 2023,1.8 Feijao (1 Safra),Parana,114965,,193269,1681
983,fevereiro 2023,1.9 Feijao (2 Safra),Parana,301725,,599004,1985
984,fevereiro 2023,1.10 Feijao (3 Safra),Parana,600,,900,1500
985,fevereiro 2023,1.13 Milho (1 Safra),Parana,386485,,3696422,9564
986,fevereiro 2023,1.14 Milho (2 Safra),Parana,2636960,,15384664,5834
987,fevereiro 2023,1.15 Soja,Parana,5803749,,21036197,3625
988,fevereiro 2023,1.17 Trigo,Parana,1194000,,3377500,2829
989,fevereiro 2023,15 Fumo,Parana,71966,,170042,2363
990,marco 2023,1.4 Arroz,Parana,21000,,157300,7490
991,marco 2023,1.8 Feijao (1 Safra),Parana,114965,,197400,1717
992,marco 2023,1.9 Feijao (2 Safra),Parana,295900,,588800,1990
993,marco 2023,1.10 Feijao (3 Safra),Parana,300,,400,1333
994,marco 2023,1.13 Milho (1 Safra),Parana,387200,,3758800,9708
995,marco 2023,1.14 Milho (2 Safra),Parana,2515900,,14693400,5840
996,marco 2023,1.15 Soja,Parana,5816700,,22322000,3838
997,marco 2023,1.17 Trigo,Parana,1362200,,4498800,3303
998,marco 2023,15 Fumo,Parana,71966,,171500,2383
999,abril 2023,1.4 Arroz,Parana,21000,,157400,7495
1000,abril 2023,1.8 Feijao (1 Safra),Parana,114965,,197600,1719
1001,abril 2023,1.9 Feijao (2 Safra),Parana,296900,,592100,1994
1002,abril 2023,1.10 Feijao (3 Safra),Parana,900,,1900,2111
1003,abril 2023,1.13 Milho (1 Safra),Parana,385800,,3793000,9832
1004,abril 2023,1.14 Milho (2 Safra),Parana,2465200,,14421000,5850
1005,abril 2023,1.15 Soja,Parana,5815800,,22517400,3872
1006,abril 2023,1.17 Trigo,Parana,1361600,,4484500,3294
1007,abril 2023,15 Fumo,Parana,71966,,171500,2383
1008,maio 2023,1.4 Arroz,Parana,21000,,160300,7633
1009,maio 2023,1.8 Feijao (1 Safra),Parana,115400,,198200,1718
1010,maio 2023,1.9 Feijao (2 Safra),Parana,299100,,553500,1851
1011,maio 2023,1.10 Feijao (3 Safra),Parana,900,,1900,2111
1012,maio 2023,1.13 Milho (1 Safra),Parana,385300,,3827500,9934
1013,maio 2023,1.14 Milho (2 Safra),Parana,2426000,,14127800,5823
1014,maio 2023,1.15 Soja,Parana,5832400,,22479100,3854
1015,maio 2023,1.17 Trigo,Parana,1380800,,4548400,3294
1016,maio 2023,15 Fumo,Parana,71966,,171500,2383
1017,junho 2023,1.4 Arroz,Parana,21000,,160300,7633
1018,junho 2023,1.8 Feijao (1 Safra),Parana,115400,,198200,1718
1019,junho 2023,1.9 Feijao (2 Safra),Parana,299100,,553500,1851
1020,junho 2023,1.10 Feijao (3 Safra),Parana,900,,1900,2111
1021,junho 2023,1.13 Milho (1 Safra),Parana,385300,,3827500,9934
1022,junho 2023,1.14 Milho (2 Safra),Parana,2426000,,14127800,5823
1023,junho 2023,1.15 Soja,Parana,5832400,,22479100,3854
1024,junho 2023,1.17 Trigo,Parana,1380800,,4548400,3294
1025,junho 2023,15 Fumo,Parana,71966,,171500,2383
1026,julho 2023,1.4 Arroz,Parana,21000,,160500,7643
1027,julho 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
1028,julho 2023,1.9 Feijao (2 Safra),Parana,288600,,496000,1719
1029,julho 2023,1.10 Feijao (3 Safra),Parana,800,,1500,1875
1030,julho 2023,1.13 Milho (1 Safra),Parana,384700,,3817800,9924
1031,julho 2023,1.14 Milho (2 Safra),Parana,2415300,,13971700,5785
1032,julho 2023,1.15 Soja,Parana,5834700,,22544500,3864
1033,julho 2023,1.17 Trigo,Parana,1396300,,4577100,3278
1034,julho 2023,15 Fumo,Parana,71966,,171500,2383
1035,agosto 2023,1.4 Arroz,Parana,21200,,162000,7642
1036,agosto 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
1037,agosto 2023,1.9 Feijao (2 Safra),Parana,287700,,464800,1616
1038,agosto 2023,1.10 Feijao (3 Safra),Parana,900,,1600,1778
1039,agosto 2023,1.13 Milho (1 Safra),Parana,379100,,3786800,9989
1040,agosto 2023,1.14 Milho (2 Safra),Parana,2374700,,13981300,5888
1041,agosto 2023,1.15 Soja,Parana,5841400,,22544900,3860
1042,agosto 2023,1.17 Trigo,Parana,1409900,,4493200,3187
1043,agosto 2023,15 Fumo,Parana,71966,,171500,2383
1044,setembro 2023,1.4 Arroz,Parana,20600,,156200,7583
1045,setembro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
1046,setembro 2023,1.9 Feijao (2 Safra),Parana,294900,,478200,1622
1047,setembro 2023,1.10 Feijao (3 Safra),Parana,800,,1400,1750
1048,setembro 2023,1.13 Milho (1 Safra),Parana,379100,,3784700,9983
1049,setembro 2023,1.14 Milho (2 Safra),Parana,2377800,,14072500,5918
1050,setembro 2023,1.15 Soja,Parana,5832500,,22505600,3859
1051,setembro 2023,1.17 Trigo,Parana,1408400,,4155900,2951
1052,setembro 2023,15 Fumo,Parana,71966,,171500,2383
1053,outubro 2023,1.4 Arroz,Parana,20600,,156200,7583
1054,outubro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
1055,outubro 2023,1.9 Feijao (2 Safra),Parana,294700,,478000,1622
1056,outubro 2023,1.10 Feijao (3 Safra),Parana,1200,,1600,1333
1057,outubro 2023,1.13 Milho (1 Safra),Parana,379100,,3783500,9980
1058,outubro 2023,1.14 Milho (2 Safra),Parana,2383600,,14019200,5882
1059,outubro 2023,1.15 Soja,Parana,5831500,,22485000,3856
1060,outubro 2023,1.17 Trigo,Parana,1412900,,3855200,2729
1061,outubro 2023,15 Fumo,Parana,71966,,171500,2383
1062,novembro 2023,1.4 Arroz,Parana,20600,,155200,7534
1063,novembro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
1064,novembro 2023,1.9 Feijao (2 Safra),Parana,294700,,480500,1630
1065,novembro 2023,1.10 Feijao (3 Safra),Parana,1200,,1600,1333
1066,novembro 2023,1.13 Milho (1 Safra),Parana,379100,,3783500,9980
1067,novembro 2023,1.14 Milho (2 Safra),Parana,2382200,,14013300,5883
1068,novembro 2023,1.15 Soja,Parana,5831500,,22511700,3860
1069,novembro 2023,1.17 Trigo,Parana,1411700,,3652800,2588
1070,novembro 2023,15 Fumo,Parana,71966,,172000,2390
1071,dezembro 2023,1.4 Arroz,Parana,20600,,156200,7583
1072,dezembro 2023,1.8 Feijao (1 Safra),Parana,115900,,199000,1717
1073,dezembro 2023,1.9 Feijao (2 Safra),Parana,294700,,480500,1630
1074,dezembro 2023,1.10 Feijao (3 Safra),Parana,1200,,1600,1333
1075,dezembro 2023,1.13 Milho (1 Safra),Parana,379100,,3782300,9977
1076,dezembro 2023,1.14 Milho (2 Safra),Parana,2379700,,14176500,5957
1077,dezembro 2023,1.15 Soja,Parana,5834000,,22455000,3849
1078,dezembro 2023,1.17 Trigo,Parana,1407800,,3600900,2558
1079,dezembro 2023,15 Fumo,Parana,71966,,172000,2390
1080,janeiro 2024,1.4 Arroz,Parana,19500,,117500,6026
1081,janeiro 2024,1.8 Feijao (1 Safra),Parana,112600,,156400,1389
1082,janeiro 2024,1.9 Feijao (2 Safra),Parana,304800,,607900,1994
1083,janeiro 2024,1.10 Feijao (3 Safra),Parana,1200,,1800,1500
1084,janeiro 2024,1.13 Milho (1 Safra),Parana,291500,,2611900,8960
1085,janeiro 2024,1.14 Milho (2 Safra),Parana,2402500,,14558700,6060
1086,janeiro 2024,1.15 Soja,Parana,5822300,,19369400,3327
1087,janeiro 2024,1.17 Trigo,Parana,1410000,,4230000,3000
1088,janeiro 2024,15 Fumo,Parana,74500,,144100,1934
1089,fevereiro 2024,1.4 Arroz,Parana,19500,,125700,6446
1090,fevereiro 2024,1.8 Feijao (1 Safra),Parana,113000,,167200,1480
1091,fevereiro 2024,1.9 Feijao (2 Safra),Parana,347700,,691000,1987
1092,fevereiro 2024,1.10 Feijao (3 Safra),Parana,1600,,2200,1375
1093,fevereiro 2024,1.13 Milho (1 Safra),Parana,296500,,2591500,8740
1094,fevereiro 2024,1.14 Milho (2 Safra),Parana,2414500,,14630600,6059
1095,fevereiro 2024,1.15 Soja,Parana,5813300,,18357900,3158
1096,fevereiro 2024,1.17 Trigo,Parana,1407800,,3601300,2558
1097,fevereiro 2024,15 Fumo,Parana,74300,,143800,1935
1098,marco 2024,1.4 Arroz,Parana,20000,,125500,6275
1099,marco 2024,1.8 Feijao (1 Safra),Parana,113100,,168700,1492
1100,marco 2024,1.9 Feijao (2 Safra),Parana,391400,,777200,1986
1101,marco 2024,1.10 Feijao (3 Safra),Parana,700,,700,1000
1102,marco 2024,1.13 Milho (1 Safra),Parana,296700,,2548600,8590
1103,marco 2024,1.14 Milho (2 Safra),Parana,2426600,,14221900,5861
1104,marco 2024,1.15 Soja,Parana,5815700,,18449100,3172
1105,marco 2024,1.17 Trigo,Parana,1174900,,3913600,3331
1106,marco 2024,15 Fumo,Parana,74600,,144400,1936
1107,abril 2024,1.4 Arroz,Parana,19000,,126600,6663
1108,abril 2024,1.8 Feijao (1 Safra),Parana,113800,,171600,1508
1109,abril 2024,1.9 Feijao (2 Safra),Parana,402200,,774000,1924
1110,abril 2024,1.10 Feijao (3 Safra),Parana,700,,1000,1429
1111,abril 2024,1.13 Milho (1 Safra),Parana,296300,,2526600,8527
1112,abril 2024,1.14 Milho (2 Safra),Parana,2415900,,13531900,5601
1113,abril 2024,1.15 Soja,Parana,5814700,,18474800,3177
1114,abril 2024,1.17 Trigo,Parana,1139200,,3795000,3331
1115,abril 2024,15 Fumo,Parana,74600,,145000,1944
1116,maio 2024,1.4 Arroz,Parana,19500,,129200,6626
1117,maio 2024,1.8 Feijao (1 Safra),Parana,113800,,170300,1496
1118,maio 2024,1.9 Feijao (2 Safra),Parana,402900,,646300,1604
1119,maio 2024,1.10 Feijao (3 Safra),Parana,700,,1000,1429
1120,maio 2024,1.13 Milho (1 Safra),Parana,296400,,2552800,8613
1121,maio 2024,1.14 Milho (2 Safra),Parana,2419400,,13226800,5467
1122,maio 2024,1.15 Soja,Parana,5819100,,18512700,3181
1123,maio 2024,1.17 Trigo,Parana,1117500,,3713200,3323
1124,maio 2024,15 Fumo,Parana,74600,,148300,1988
1125,junho 2024,1.4 Arroz,Parana,18200,,119300,6555
1126,junho 2024,1.8 Feijao (1 Safra),Parana,114800,,172300,1501
1127,junho 2024,1.9 Feijao (2 Safra),Parana,413100,,661800,1602
1128,junho 2024,1.10 Feijao (3 Safra),Parana,1000,,1200,1200
1129,junho 2024,1.13 Milho (1 Safra),Parana,297200,,2555600,8599
1130,junho 2024,1.14 Milho (2 Safra),Parana,2421700,,12950200,5348
1131,junho 2024,1.15 Soja,Parana,5819700,,18570200,3191
1132,junho 2024,1.17 Trigo,Parana,1153400,,3810300,3304
1133,junho 2024,15 Fumo,Parana,74600,,148400,1989
1134,julho 2024,1.4 Arroz,Parana,19500,,120600,6185
1135,julho 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
1136,julho 2024,1.9 Feijao (2 Safra),Parana,417900,,659200,1577
1137,julho 2024,1.10 Feijao (3 Safra),Parana,1000,,1200,1200
1138,julho 2024,1.13 Milho (1 Safra),Parana,296000,,2543000,8591
1139,julho 2024,1.14 Milho (2 Safra),Parana,2512100,,12963700,5161
1140,julho 2024,1.15 Soja,Parana,5824800,,18657300,3203
1141,julho 2024,1.17 Trigo,Parana,1155700,,3613300,3127
1142,julho 2024,15 Fumo,Parana,74600,,148400,1989
1143,agosto 2024,1.4 Arroz,Parana,19500,,120600,6185
1144,agosto 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
1145,agosto 2024,1.9 Feijao (2 Safra),Parana,418000,,659300,1577
1146,agosto 2024,1.10 Feijao (3 Safra),Parana,1000,,1200,1200
1147,agosto 2024,1.13 Milho (1 Safra),Parana,296000,,2543100,8592
1148,agosto 2024,1.14 Milho (2 Safra),Parana,2534600,,12603100,4972
1149,agosto 2024,1.15 Soja,Parana,5835400,,18687700,3202
1150,agosto 2024,1.17 Trigo,Parana,1155100,,3142800,2721
1151,agosto 2024,15 Fumo,Parana,74600,,148400,1989
1152,setembro 2024,1.4 Arroz,Parana,19500,,121700,6241
1153,setembro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
1154,setembro 2024,1.9 Feijao (2 Safra),Parana,430500,,669500,1555
1155,setembro 2024,1.10 Feijao (3 Safra),Parana,800,,800,1000
1156,setembro 2024,1.13 Milho (1 Safra),Parana,294400,,2524500,8575
1157,setembro 2024,1.14 Milho (2 Safra),Parana,2534100,,12517200,4940
1158,setembro 2024,1.15 Soja,Parana,5835100,,18639100,3194
1159,setembro 2024,1.17 Trigo,Parana,1149600,,2580700,2245
1160,setembro 2024,15 Fumo,Parana,74600,,148400,1989
1161,outubro 2024,1.4 Arroz,Parana,19500,,121700,6241
1162,outubro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
1163,outubro 2024,1.9 Feijao (2 Safra),Parana,430500,,669000,1554
1164,outubro 2024,1.10 Feijao (3 Safra),Parana,700,,700,1000
1165,outubro 2024,1.13 Milho (1 Safra),Parana,294400,,2524800,8576
1166,outubro 2024,1.14 Milho (2 Safra),Parana,2533800,,12515300,4939
1167,outubro 2024,1.15 Soja,Parana,5835100,,18639000,3194
1168,outubro 2024,1.17 Trigo,Parana,1146800,,2352800,2052
1169,outubro 2024,15 Fumo,Parana,74600,,148400,1989
1170,novembro 2024,1.4 Arroz,Parana,19500,,130200,6677
1171,novembro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
1172,novembro 2024,1.9 Feijao (2 Safra),Parana,430000,,668800,1555
1173,novembro 2024,1.10 Feijao (3 Safra),Parana,900,,700,778
1174,novembro 2024,1.13 Milho (1 Safra),Parana,294400,,2525000,8577
1175,novembro 2024,1.14 Milho (2 Safra),Parana,2533400,,12556400,4956
1176,novembro 2024,1.15 Soja,Parana,5835000,,18643100,3195
1177,novembro 2024,1.17 Trigo,Parana,1147400,,2305300,2009
1178,novembro 2024,15 Fumo,Parana,74600,,148400,1989
1179,dezembro 2024,1.4 Arroz,Parana,19500,,130200,6677
1180,dezembro 2024,1.8 Feijao (1 Safra),Parana,107800,,160400,1488
1181,dezembro 2024,1.9 Feijao (2 Safra),Parana,430000,,665200,1547
1182,dezembro 2024,1.10 Feijao (3 Safra),Parana,900,,700,778
1183,dezembro 2024,1.13 Milho (1 Safra),Parana,294400,,2525000,8577
1184,dezembro 2024,1.14 Milho (2 Safra),Parana,2533400,,12556400,4956
1185,dezembro 2024,1.15 Soja,Parana,5835000,,18643000,3195
1186,dezembro 2024,1.17 Trigo,Parana,1146200,,2363300,2062
1187,dezembro 2024,15 Fumo,Parana,72900,,148400,2036
1188,janeiro 2014,1.4 Arroz,Santa Catarina,149712,149712,1105945,7387
1189,janeiro 2014,1.8 Feijao (1 Safra),Santa Catarina,62450,62500,124900,2000
1190,janeiro 2014,1.9 Feijao (2 Safra),Santa Catarina,24246,24246,29774,1228
1191,janeiro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1192,janeiro 2014,1.13 Milho (1 Safra),Santa Catarina,455647,455647,3225957,7080
1193,janeiro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1194,janeiro 2014,1.15 Soja,Santa Catarina,557760,557760,1766568,3167
1195,janeiro 2014,1.17 Trigo,Santa Catarina,72600,72600,197883,2726
1196,janeiro 2014,15 Fumo,Santa Catarina,122519,122619,268628,2193
1197,fevereiro 2014,1.4 Arroz,Santa Catarina,149712,149712,1105945,7387
1198,fevereiro 2014,1.8 Feijao (1 Safra),Santa Catarina,62450,62500,124900,2000
1199,fevereiro 2014,1.9 Feijao (2 Safra),Santa Catarina,24206,24246,34528,1426
1200,fevereiro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1201,fevereiro 2014,1.13 Milho (1 Safra),Santa Catarina,455647,455647,3225957,7080
1202,fevereiro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1203,fevereiro 2014,1.15 Soja,Santa Catarina,557760,557760,1766568,3167
1204,fevereiro 2014,1.17 Trigo,Santa Catarina,76644,77244,238256,3109
1205,fevereiro 2014,15 Fumo,Santa Catarina,122519,122519,268628,2193
1206,marco 2014,1.4 Arroz,Santa Catarina,149712,149712,1105945,7387
1207,marco 2014,1.8 Feijao (1 Safra),Santa Catarina,62450,62500,124900,2000
1208,marco 2014,1.9 Feijao (2 Safra),Santa Catarina,24206,24246,34528,1426
1209,marco 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1210,marco 2014,1.13 Milho (1 Safra),Santa Catarina,455647,455647,3225957,7080
1211,marco 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1212,marco 2014,1.15 Soja,Santa Catarina,557760,557760,1766568,3167
1213,marco 2014,1.17 Trigo,Santa Catarina,76644,77244,238256,3109
1214,marco 2014,15 Fumo,Santa Catarina,122519,122519,268628,2193
1215,abril 2014,1.4 Arroz,Santa Catarina,149454,149461,1107086,7408
1216,abril 2014,1.8 Feijao (1 Safra),Santa Catarina,62662,62752,112792,1800
1217,abril 2014,1.9 Feijao (2 Safra),Santa Catarina,23500,23500,32900,1400
1218,abril 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1219,abril 2014,1.13 Milho (1 Safra),Santa Catarina,441171,446376,3132314,7100
1220,abril 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1221,abril 2014,1.15 Soja,Santa Catarina,558444,558444,1647410,2950
1222,abril 2014,1.17 Trigo,Santa Catarina,76644,77244,244256,3187
1223,abril 2014,15 Fumo,Santa Catarina,120691,120795,258369,2141
1224,maio 2014,1.4 Arroz,Santa Catarina,149454,149461,1107086,7408
1225,maio 2014,1.8 Feijao (1 Safra),Santa Catarina,62662,62752,112792,1800
1226,maio 2014,1.9 Feijao (2 Safra),Santa Catarina,23500,23500,32900,1400
1227,maio 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1228,maio 2014,1.13 Milho (1 Safra),Santa Catarina,441171,446376,3132314,7100
1229,maio 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1230,maio 2014,1.15 Soja,Santa Catarina,558444,558444,1647410,2950
1231,maio 2014,1.17 Trigo,Santa Catarina,76644,77244,244256,3187
1232,maio 2014,15 Fumo,Santa Catarina,120691,120795,258369,2141
1233,junho 2014,1.4 Arroz,Santa Catarina,149831,149838,1088412,7264
1234,junho 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1235,junho 2014,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,36001,1500
1236,junho 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1237,junho 2014,1.13 Milho (1 Safra),Santa Catarina,437423,443633,3193188,7300
1238,junho 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1239,junho 2014,1.15 Soja,Santa Catarina,559428,559428,1658000,2964
1240,junho 2014,1.17 Trigo,Santa Catarina,90018,90018,287752,3197
1241,junho 2014,15 Fumo,Santa Catarina,120545,120649,258249,2142
1242,julho 2014,1.4 Arroz,Santa Catarina,149831,149838,1088412,7264
1243,julho 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1244,julho 2014,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,36001,1500
1245,julho 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1246,julho 2014,1.13 Milho (1 Safra),Santa Catarina,437423,443633,3193188,7300
1247,julho 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1248,julho 2014,1.15 Soja,Santa Catarina,559428,559428,1658000,2964
1249,julho 2014,1.17 Trigo,Santa Catarina,90018,90018,287752,3197
1250,julho 2014,15 Fumo,Santa Catarina,120545,120649,258249,2142
1251,agosto 2014,1.4 Arroz,Santa Catarina,149831,149838,1088412,7264
1252,agosto 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1253,agosto 2014,1.9 Feijao (2 Safra),Santa Catarina,24000,24000,36001,1500
1254,agosto 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1255,agosto 2014,1.13 Milho (1 Safra),Santa Catarina,437423,443633,3193188,7300
1256,agosto 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1257,agosto 2014,1.15 Soja,Santa Catarina,559428,559428,1658000,2964
1258,agosto 2014,1.17 Trigo,Santa Catarina,90018,90018,287752,3197
1259,agosto 2014,15 Fumo,Santa Catarina,120545,120649,258249,2142
1260,setembro 2014,1.4 Arroz,Santa Catarina,149877,149877,1082450,7222
1261,setembro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1262,setembro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
1263,setembro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1264,setembro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
1265,setembro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1266,setembro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
1267,setembro 2014,1.17 Trigo,Santa Catarina,93999,93999,302018,3213
1268,setembro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
1269,outubro 2014,1.4 Arroz,Santa Catarina,149877,149877,1082450,7222
1270,outubro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1271,outubro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
1272,outubro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1273,outubro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
1274,outubro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1275,outubro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
1276,outubro 2014,1.17 Trigo,Santa Catarina,93999,93999,302018,3213
1277,outubro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
1278,novembro 2014,1.4 Arroz,Santa Catarina,149877,149877,1082450,7222
1279,novembro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1280,novembro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
1281,novembro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1282,novembro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
1283,novembro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1284,novembro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
1285,novembro 2014,1.17 Trigo,Santa Catarina,93999,93999,302018,3213
1286,novembro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
1287,dezembro 2014,1.4 Arroz,Santa Catarina,149869,149869,1082441,7223
1288,dezembro 2014,1.8 Feijao (1 Safra),Santa Catarina,63097,63187,107427,1703
1289,dezembro 2014,1.9 Feijao (2 Safra),Santa Catarina,24921,26112,37744,1515
1290,dezembro 2014,1.10 Feijao (3 Safra),Santa Catarina,,,,
1291,dezembro 2014,1.13 Milho (1 Safra),Santa Catarina,436433,442643,3149729,7217
1292,dezembro 2014,1.14 Milho (2 Safra),Santa Catarina,,,,
1293,dezembro 2014,1.15 Soja,Santa Catarina,560098,560098,1685295,3009
1294,dezembro 2014,1.17 Trigo,Santa Catarina,96000,96000,273600,2850
1295,dezembro 2014,15 Fumo,Santa Catarina,120641,120641,258245,2141
1296,janeiro 2015,1.4 Arroz,Santa Catarina,149254,149254,1113629,7461
1297,janeiro 2015,1.8 Feijao (1 Safra),Santa Catarina,53198,53198,106396,2000
1298,janeiro 2015,1.9 Feijao (2 Safra),Santa Catarina,26112,26112,38366,1469
1299,janeiro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
1300,janeiro 2015,1.13 Milho (1 Safra),Santa Catarina,420000,420000,3186120,7586
1301,janeiro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
1302,janeiro 2015,1.15 Soja,Santa Catarina,602846,602846,1963399,3257
1303,janeiro 2015,1.17 Trigo,Santa Catarina,85000,85000,238000,2800
1304,janeiro 2015,15 Fumo,Santa Catarina,116015,116015,260088,2242
1305,fevereiro 2015,1.4 Arroz,Santa Catarina,149254,149254,1113629,7461
1306,fevereiro 2015,1.8 Feijao (1 Safra),Santa Catarina,53198,53198,106396,2000
1307,fevereiro 2015,1.9 Feijao (2 Safra),Santa Catarina,26112,26112,38366,1469
1308,fevereiro 2015,1.10 Feijao (3 Safra),Santa Catarina,,,,
1309,fevereiro 2015,1.13 Milho (1 Safra),Santa Catarina,420000,420000,3186120,7586
1310,fevereiro 2015,1.14 Milho (2 Safra),Santa Catarina,,,,
1311,fevereiro 2015,1.15 Soja,Santa Catarina,602846,602846,1963399,3257
1312,fevereiro 2015,1.17 Trigo,Santa Catarina,85000,85000,238000,2800
1313,fevereiro 2015,15 Fumo,Santa Catarina,116015,116015,260088,2242
1314,marco 2015,1.4 Arroz,Santa Catarina,148744,148744,1084066,7288
