Country,Region,Year,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Decade,Regional Happiness Ratio,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Region_nan
Saudi Arabia,Western Europe,2019,28,6.375,0.6693702290076335,0.8254257907542579,0.6967572304995618,0.606353591160221,0.09545683218487329,0.2391694297983367,2010,1.1790062204581584,False,False,False,False,False,False,False,False,False,True,False
Qatar,Western Europe,2019,29,6.374,0.8034351145038167,0.7986618004866181,0.7633654688869412,0.7665745856353592,0.2625062885084015,0.3025855664872896,2010,1.1788212783059298,False,False,False,False,False,False,False,False,False,True,False
Spain,Western Europe,2019,30,6.354,0.6135496183206106,0.902676399026764,0.9307624890446977,0.5,0.18256119155357015,0.14313927995506515,2010,1.1751224352613552,False,False,False,False,False,False,False,False,False,True,False
Panama,Western Europe,2019,31,6.321,0.5481870229007634,0.8771289537712895,0.7975460122699387,0.7127071823204421,0.13005993385188985,0.09784203946295592,2010,1.169019344237807,False,False,False,False,False,False,False,False,False,True,False
Brazil,Western Europe,2019,32,6.3,0.4790076335877862,0.8753041362530415,0.7028921998247152,0.5386740331491713,0.11812782982878069,0.1558225072928557,2010,1.1651355590410035,False,False,False,False,False,False,False,False,False,True,False
Uruguay,Western Europe,2019,33,6.293,0.5362595419847328,0.8911192214111923,0.7808939526730938,0.7223756906077349,0.15153772109348634,0.27178344295265533,2010,1.1638409639754026,False,False,False,False,False,False,False,False,False,True,False
Singapore,Western Europe,2019,34,6.262,0.75,0.8899026763990269,1.0,0.7679558011049724,0.32336001902625827,0.558564068901047,2010,1.1581077572563119,False,False,False,False,False,False,False,False,False,True,False
El Salvador,Western Europe,2019,35,6.253,0.3788167938931298,0.7554744525547445,0.6914986853637161,0.5939226519337016,0.11096856741491519,0.1340798318566433,2010,1.1564432778862532,False,False,False,False,False,False,False,False,False,True,False
Italy,Western Europe,2019,36,6.223,0.6173664122137404,0.9051094890510949,0.9106047326906221,0.31906077348066303,0.18852724356512474,0.05435668859053106,2010,1.1508950133193914,False,False,False,False,False,False,False,False,False,True,False
Bahrain,Western Europe,2019,37,6.199,0.6498091603053435,0.832116788321168,0.7633654688869412,0.7403314917127073,0.3042686525892836,0.19930785816528057,2010,1.1464564016659018,False,False,False,False,False,False,False,False,False,True,False
Slovakia,Western Europe,2019,38,6.198,0.5944656488549618,0.9148418491484186,0.7721297107800176,0.4613259668508288,0.14437845867962085,0.025366454675581164,2010,1.1462714595136732,False,False,False,False,False,False,False,False,False,True,False
Trinidad and Tobago,Western Europe,2019,39,6.192,0.5873091603053435,0.8984184914841851,0.6248904469763366,0.675414364640884,0.22074392442751947,0.0289902339149499,2010,1.1451618066003006,False,False,False,False,False,False,False,False,False,True,False
Poland,Western Europe,2019,40,6.182,0.575381679389313,0.8746958637469586,0.7747589833479404,0.6671270718232044,0.1396056170703772,0.09059448098421845,2010,1.1433123850780136,False,False,False,False,False,False,False,False,False,True,False
Uzbekistan,Western Europe,2019,41,6.174,0.35543893129770987,0.9300486618004866,0.6625766871165644,0.8715469613259669,0.38421374954411497,0.4348535087242485,2010,1.1418328478601836,False,False,False,False,False,False,False,False,False,True,False
Lithuania,Western Europe,2019,42,6.149,0.5906488549618321,0.9215328467153284,0.7169149868536371,0.40193370165745856,0.051308047299369386,0.0760993640267435,2010,1.1372092940544654,False,False,False,False,False,False,False,False,False,True,False
Colombia,Western Europe,2019,43,6.125,0.469942748091603,0.8576642335766423,0.7370727432077125,0.649171270718232,0.11812782982878069,0.06160424706926854,2010,1.1327706824009758,False,False,False,False,False,False,False,False,False,True,False
Slovenia,Western Europe,2019,44,6.118,0.6001908396946565,0.9263990267639902,0.8352322524101665,0.7790055248618784,0.1718222979327719,0.10327770832200903,2010,1.1314760873353746,False,False,False,False,False,False,False,False,False,True,False
Nicaragua,Western Europe,2019,45,6.105,0.3311068702290076,0.8059610705596107,0.7318141980718668,0.600828729281768,0.23864208046218321,0.23010998169991484,2010,1.1290718393564012,False,False,False,False,False,False,False,False,False,True,False
Kosovo,Western Europe,2019,46,6.1,0.4208015267175572,0.7493917274939174,0.6643295354951797,0.675414364640884,0.31262112540546,0.010871337718106213,2010,1.1281471285952573,False,False,False,False,False,False,False,False,False,True,False
Argentina,Western Europe,2019,47,6.086,0.5209923664122137,0.8710462287104623,0.7721297107800176,0.6505524861878453,0.07875188655252047,0.09059448098421845,2010,1.1255579384640553,False,False,False,False,False,False,False,False,False,True,False
Romania,Western Europe,2019,48,6.07,0.5543893129770991,0.7493917274939174,0.7230499561787905,0.6381215469613261,0.09903646339180604,0.009059448098421845,2010,1.1225988640283957,False,False,False,False,False,False,False,False,False,True,False
Cyprus,Western Europe,2019,49,6.046,0.6025763358778625,0.7439172749391728,0.9132340052585451,0.5607734806629835,0.22670997643907403,0.07428747440705913,2010,1.1181602523749061,False,False,False,False,False,False,False,False,False,True,False
